項目,東京都,全国,全国シェア(%),順位(位)
事業所数(所),27142,356752,7.6,3
従業者数(人),296132,7773314,3.8,7
製造品出荷額等(百万円),8545216,314783174,2.7,14
付加価値額(百万円),3381912,98836280,3.4,8
