年度,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
大阪(所),26902,27227,24822,25454,23564,23553,24200,21362,20122,20983,19073,18229,17501,18768,15990,15784,15500,15522
愛知(所),24216,24462,22684,23125,21737,21768,21837,19695,18764,19684,17840,17187,16795,17611,15870,15576,15322,15063
埼玉(所),16244,16629,15355,15821,14969,15135,15515,13607,12876,13431,12184,11868,11614,12667,10975,10902,10796,10490
東京(所),23051,23521,21035,21296,19038,18681,19287,16469,15082,16664,14040,12780,12156,13459,10789,10322,9870,9887
静岡(所),13730,13922,12947,13228,12525,12427,12535,11266,10768,11194,10431,10037,9777,10492,9299,9138,9002,8786
