業種,製造品出荷額等(億円),構成比(%)
輸送用機械,12087,16.9
電気機械,7740,10.8
印刷・同関連業,7425,10.4
食料品,7299,10.2
"情報通信
機械",4777,6.7
"生産用
機械",3913,5.5
化学工業,3830,5.3
電子・デバイス,3255,4.5
業務用機械,3040,4.2
金属製品,2724,3.8
ほか14業種,15517,21.7
製造品出荷額等_合計(億円),71608,
