年度,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
愛知(億円),111641,110915,116063,120842,129803,142172,121218,87934,99082,108117,119385,124827,128646,138977,129753,136416,137021,128101
静岡(億円),61460,59344,61538,63170,64973,65893,63480,49732,54103,52149,54638,55935,55262,57848,56822,59768,61147,58900
大阪(億円),65830,64171,64593,63434,61967,63999,62928,52697,53772,55084,51367,51254,52360,52091,52301,56744,56088,53760
東京(億円),47473,46100,47834,46541,43551,41137,37945,30611,31356,35771,33283,30483,31932,32912,33051,32145,30743,28161
