,,300万円未満(%)      ,300～500万円未満(%) ,500万～1千万円未満(%) ,1～2千万円未満(%) ,2～3千万円未満(%) ,3～5千万円未満(%) ,5千万円以上(%) ,無回答(%) ,n(件)
,今回調査（全体）,4,30.2,9.9,37.4,4.9,5.1,6.3,2.1,1987
,前回調査,3.1,30.4,9.9,38.5,4.9,5,5.7,2.4,1887
業種別,食品・飲料,4.5,23.9,6,37.3,6,9,13.4,0,67
業種別,衣料・身の回り品,8,33.6,8.8,36.5,5.8,1.5,2.2,3.6,137
業種別,住宅・建物,6.6,39.5,10.5,32.9,1.3,3.9,3.9,1.3,76
業種別,紙・印刷,2.9,33.1,11.1,37.9,4.3,3.4,4.8,2.4,414
業種別,材料・部品[非金属] ,3.1,23.2,7.1,39.3,7.1,7.1,11.6,1.3,224
業種別,材料・部品[金属] ,3.9,34.6,12,35.5,3.2,2.9,4.7,3.2,408
業種別,一般・精密機械,2.5,26.7,8.3,39.7,5.8,9.1,6.3,1.7,363
業種別,電機・電子,4,20.8,9.8,38.7,8.1,5.8,11.6,1.2,173
業種別,その他,8.6,37.1,11.2,31.9,2.6,5.2,1.7,1.7,116
従業者規模別,1～3人,7.4,50.9,14.2,23.4,0.3,0.5,0.6,2.7,662
従業者規模別,4～9人,2.7,31.3,10.8,46.4,4.8,1.9,0.8,1.4,640
従業者規模別,10～20人,2.4,12,7.6,54.3,9.3,8.6,4.5,1.4,291
従業者規模別,21～50人,1.4,6.9,2.8,45.8,9.3,15.7,17.1,0.9,216
従業者規模別,51～99人,2.6,0,1.3,20.8,16.9,23.4,33.8,1.3,77
従業者規模別,100人以上,1.8,0,0,8.9,7.1,14.3,67.9,0,56
地域別,都心,4.3,14.6,7.9,33.5,6.1,8.5,23.8,1.2,164
地域別,副都心,5.6,29.4,3.5,42,6.3,2.8,7.7,2.8,143
地域別,城東都心近接,4,31.4,10,40.1,4,3.7,4.3,2.3,299
地域別,城東周辺,3.2,35.6,12.5,33.8,6.1,4.1,2.3,2.5,441
地域別,城西,3.4,25.9,7.8,47.4,3.4,0.9,9.5,1.7,116
地域別,城南,3.7,29.6,11.1,34.9,5.2,7.7,5.2,2.5,324
地域別,城北,4.9,32.2,12.6,34.3,2.8,7,4.2,2.1,143
地域別,多摩,4.5,31.1,8.4,39.8,4.2,5.3,5.3,1.4,357
