,,取引先(顧客)との信頼関係の構築(%),企画・提案力の向上(%),営業力の強化(%),試作開発力の向上(%),研究開発力の向上(%),製品開発力の向上(%),生産設備の充実(%),高品質化(%),短納期化(%),低コスト化(%),多品種小ロット対応(%),量産化対応(%),加工技術の向上(%),独自技術の開発・向上(%),自社製品の開発(%),自社ブランドの構築・確立(%),サービス(カスタマイズ・アフターサービス等)の提供(%),産学公連携の活用(%),他社との事業連携(%),情報化（ICTの利活用等）(%),その他(%),特になし(%),無回答(%),n(件)
,今回調査（全体）,60.4,17.2,20.9,11,7.9,14.5,12.9,27.5,25,17.6,20.2,5.1,29.6,10.5,11.4,7.4,6.4,1.2,7,2.8,0.2,15.3,1.3,1707
業種別,食品・飲料,59,28.2,38.5,20.5,20.5,28.2,20.5,35.9,7.7,20.5,15.4,7.7,20.5,12.8,25.6,25.6,7.7,2.6,15.4,5.1,0,5.1,2.6,39
業種別,衣料・身の回り品,56.2,21.9,17.1,11.6,6.2,14.4,12.3,24.7,18.5,14.4,21.9,4.8,30.1,11.6,10.3,14.4,5.5,0,2.1,1.4,0,19.9,3.4,146
業種別,住宅・建物,61.6,15.1,17.8,2.7,6.8,9.6,6.8,16.4,11,13.7,5.5,4.1,17.8,8.2,11,9.6,2.7,0,8.2,0,0,24.7,0,73
業種別,紙・印刷,67.5,20.3,26.3,5.6,2.8,4.2,11,25.4,27.7,15.3,24.9,2.5,24,4.8,4.2,0.8,4.8,0,9,2,0,15.8,0.6,354
業種別,材料・部品[非金属] ,53.1,16.8,24,15.6,11.7,17.3,15.6,34.6,25.7,21.8,21.2,6.7,29.6,12.8,16.2,11.7,6.1,2.8,6.7,5.6,0.6,15.6,1.1,179
業種別,材料・部品[金属] ,62.7,8.8,13.1,8,2.6,10,12.8,22.8,29.6,15.7,21.7,6.8,36.5,7.4,6.3,3.7,2.3,0,4.3,1.7,0.3,16,1.1,351
業種別,一般・精密機械,60.6,17.6,22.8,16.6,14.7,23.1,17.3,35.8,28,21.8,19.5,5.5,34.5,15.3,16,8.1,10.4,3.3,9.1,3.9,0.3,10.7,0.7,307
業種別,電機・電子,53.3,18.2,21.2,16.1,15.3,28.5,13.9,25.5,22.6,22.6,15.3,6.6,22.6,13.9,19.7,10.9,13.1,2.2,8,3.6,0,15.3,1.5,137
業種別,その他,54.1,23.4,19.8,9,5.4,15.3,4.5,24.3,18.9,12.6,16.2,2.7,32.4,17.1,16.2,9.9,9.9,0.9,5.4,3.6,0,16.2,2.7,111
従業者規模別,1～3人,53.8,10.6,9.4,7.1,3.9,7.3,5.3,20.4,20.8,14.4,15.3,2.3,25.7,5.7,5.1,4.2,3.3,0.1,3.9,1,0.4,24.3,1.6,818
従業者規模別,4～9人,64.1,18.3,23.7,10.4,7.9,16,15.4,26.6,25.3,17.6,20.5,5.2,30.5,11,12.9,8.3,8.3,1.2,9.8,2.5,0,8.1,1.2,482
従業者規模別,10～20人,72.9,27.1,39.6,18.2,13.5,26.6,21.9,41.7,35.4,17.7,28.1,8.9,34.9,16.7,24,12.5,7.8,2.6,7.3,6.8,0,3.6,1.6,192
従業者規模別,21～50人,72,31.2,44,21.6,16,28,27.2,47.2,34.4,31.2,34.4,12.8,36.8,21.6,22.4,12.8,13.6,4,8.8,6.4,0,1.6,0,125
従業者規模別,51～99人,78.8,42.4,54.5,27.3,30.3,36.4,51.5,54.5,33.3,39.4,33.3,12.1,54.5,24.2,15.2,15.2,24.2,6.1,24.2,9.1,0,0,0,33
従業者規模別,100人以上,45.5,36.4,50,27.3,36.4,40.9,31.8,36.4,22.7,36.4,22.7,18.2,22.7,18.2,27.3,18.2,9.1,0,18.2,9.1,0,4.5,0,22
