[区部],,
業種,付加価値額(億円),構成比(%)
印刷・同関連業,3012,24.4
化学工業,1443,11.7
金属製品,1038,8.4
食料品,1030,8.3
生産用機械,939,7.6
ほか19業種,4880,39.5
付加価値額_合計(億円),12344,
,,
[多摩地域],,
業種,付加価値額(億円),構成比(%)
輸送用機械,4134,26.2
電気機械,2843,18.0
情報通信機械,1669,10.6
食料品,1550,9.8
電子・デバイス,964,6.1
ほか19業種,4647,29.4
付加価値額_合計(億円),15806,
