業種,事業所数(所),構成比(%)
印刷・同関連業,1698,17.2
金属製品,1392,14.1
生産用機械,943,9.5
食料品,681,6.9
プラスチック,578,5.8
電気機械,570,5.8
その他,534,5.4
業務用機械,488,4.9
紙・紙加工品,371,3.8
繊維工業,365,3.7
ほか14業種,2267,22.9
事業所数_合計,9887,
