,,取引先(顧客)との近接性(%),取引先(顧客)との信頼関係(%),企画・提案力(%),営業力(%),試作開発力(%),研究開発力(%),製品開発力(%),充実した生産設備(%),高品質(%),短納期(%),低価格(%),多品種小ロット対応(%),量産能力(%),加工技術(%),独自技術(%),自社製品(%),自社ブランド(%),サービス（カスタマイズ・アフターサービス等）の提供(%),その他(%),特になし(%),無回答(%),n(件)
,今回調査（全体）,30.2,66.6,12.3,9.2,9.3,3.9,10.2,5.7,28,33.4,17.7,25.5,6.8,36.3,12.4,13.4,7.7,6.5,0.8,5.1,0.3,1852
業種別,食品・飲料,32.1,57.1,16.1,8.9,19.6,7.1,19.6,7.1,33.9,23.2,12.5,25,3.6,12.5,10.7,39.3,32.1,1.8,0,5.4,0,56
業種別,衣料・身の回り品,25.3,65.4,17.6,8.2,9.3,3.8,12.1,3.8,27.5,21.4,9.9,27.5,8.2,37.9,12.6,11,8.2,6.6,1.1,8.8,0.5,182
業種別,住宅・建物,29.2,67.7,11.5,8.3,7.3,2.1,8.3,1,27.1,25,13.5,12.5,5.2,36.5,9.4,14.6,6.3,7.3,0,6.3,0,96
業種別,紙・印刷,38.6,73.5,10.7,15.8,4.1,1.2,1.9,6.3,26.5,41.5,21.1,28.6,6.1,26,7.3,5.6,1.9,5.8,0,4.6,0.5,412
業種別,材料・部品[非金属] ,19.4,61.2,10.6,8.2,9.4,7.6,12.4,6.5,31.8,31.8,14.7,31.8,8.8,38.2,14.7,18.8,10.6,5.3,0.6,5.9,0,170
業種別,材料・部品[金属] ,29.9,66.8,7,4.3,8.3,2.3,6,4.5,24.6,37.9,21.6,25.1,6.3,47.2,10.8,9.3,3.8,2.8,0,3.3,0.5,398
業種別,一般・精密機械,30.9,66.7,15.6,9.2,14.2,5.3,18.1,10.6,29.4,34,16,26.6,7.4,41.8,18.1,13.8,10.3,11,1.8,4.6,0,282
業種別,電機・電子,26,70.2,10.6,7.7,15.4,9.6,21.2,3.8,32.7,26.9,21.2,23.1,7.7,25,20.2,24,12.5,12.5,1.9,3.8,0,104
業種別,その他,27.9,55.7,20,7.1,8.6,4.3,13.6,2.1,29.3,26.4,16.4,16.4,5.7,38.6,14.3,25,14.3,8.6,3.6,7.1,0,140
従業者規模別,1～3人,27.2,62.4,7.6,3.8,7,2.5,6.1,1.8,18.7,28.3,20.1,21.2,2.8,33.2,9.8,8.5,4.3,3.9,0.8,6.9,0.3,897
従業者規模別,4～9人,32.1,67.3,13.1,9.2,8.4,3.6,12.4,5.6,29.3,39.8,17.3,27.5,7.4,41.2,12.4,15.3,6.4,8.4,1,3.6,0.4,498
従業者規模別,10～20人,35.7,73,19.4,21.9,14.3,7.7,15.3,14.8,38.3,45.4,12.2,31.6,10.7,35.7,12.8,20.4,15.8,6.6,1,3.1,0,196
従業者規模別,21～50人,35.8,74.6,21.6,12.7,13.4,8.2,17.2,9.7,55.2,31.3,11.2,32.1,15.7,44,22.4,17.9,12.7,8.2,0.7,0.7,0,134
従業者規模別,51～99人,34.7,81.6,26.5,34.7,20.4,10.2,24.5,20.4,59.2,32.7,16.3,44.9,28.6,36.7,28.6,26.5,20.4,18.4,0,4.1,0,49
従業者規模別,100人以上,15.2,75.8,30.3,21.2,24.2,0,12.1,21.2,42.4,27.3,15.2,27.3,21.2,24.2,21.2,30.3,27.3,24.2,0,0,0,33
