,,企画開発(%) ,研究開発(%) ,設計(%) ,試作加工(%) ,製造・組立・加工(印刷を含む)(%) ,営業・販売(%) ,原材料・部品調達(%) ,品質管理(%) ,物流(%) ,製品・技術の保守管理(アフターサービス)(%) ,その他(%) ,無回答(%) ,n(件)
,今回調査（全体）,0.2,0.6,2,2.2,80.2,8.9,0.6,0.2,0,0.2,0.3,4.6,2527
業種別,食品・飲料,0,0,0,0,54.4,35.4,1.3,1.3,0,0,0,7.6,79
業種別,衣料・身の回り品,0,0,0.9,2.7,80.5,11.9,0.4,0.4,0,0,0,3.1,226
業種別,住宅・建物,0,0,0,0,87.7,5.7,0.8,0.8,0,0,0.8,4.1,122
業種別,紙・印刷,0.6,0.2,1.8,0.4,88,5.4,0,0,0,0,0.2,3.4,502
業種別,材料・部品[非金属] ,0,1.2,1.5,1.5,78.8,11.9,0.4,0,0,0,0,4.6,260
業種別,材料・部品[金属] ,0,0.4,2.2,3.7,83.9,3.5,1.1,0.4,0,0.2,0.4,4.2,542
業種別,一般・精密機械,0,0.9,2.8,3.5,77.2,9.2,0.5,0,0,0.5,0.7,4.7,425
業種別,電機・電子,0.5,2.1,5.9,2.1,73.3,8,0,0.5,0,1.6,0,5.9,187
業種別,その他,0.6,0.6,0,1.8,71.2,18.2,1.2,0,0,0,0,6.5,170
従業者規模別,1～3人,0.1,0.9,2.2,2.4,82.3,6.9,0.5,0.2,0,0.2,0.2,4.2,1155
従業者規模別,4～9人,0.1,0.6,1.9,1.8,81.8,7.7,0.9,0.3,0,0.1,0.1,4.6,675
従業者規模別,10～20人,0.7,0.3,1,2.1,78.1,11.3,0,0.3,0,0,0.7,5.5,292
従業者規模別,21～50人,0.5,0,1.4,2.8,75,14.4,0.5,0.5,0,0.9,0.5,3.7,216
従業者規模別,51～99人,0,0,3.9,0,66.2,23.4,0,0,0,1.3,0,5.2,77
従業者規模別,100人以上,0,0,5.4,1.8,73.2,12.5,1.8,0,0,0,1.8,3.6,56
地域別,都心,0,1.7,1.7,0.6,68.8,22.5,0.6,0,0,0,0,4,173
地域別,副都心,1.2,0,0.6,0,81.5,13.1,0,0,0,0,0,3.6,168
地域別,城東都心近接,0.2,0,2.1,1,82.8,7.4,1,0.5,0,0,0,5,419
地域別,城東周辺,0,0.7,1.3,2,84.6,7.2,0.7,0.2,0,0,0.2,3.3,612
地域別,城西,0.6,0.6,1.9,1.3,71,16.1,0,0,0,0,0,8.4,155
地域別,城南,0,0.5,2.6,5.2,80.2,5,0.3,0.5,0,0.5,1,4.2,383
地域別,城北,0,0,4,2.8,80.7,8.5,0,0,0,0,0,4,176
地域別,多摩,0.2,1.1,2.3,2.7,78.7,6.8,0.9,0.2,0,0.9,0.5,5.7,441
