,,解決できる(%) ,概ね解決できる(%) ,解決できる見込みはない(%)         ,わからない(%) ,無回答(%) ,n(件) 
,今回調査（全体）,8.7,52.7,7.5,27.8,3.4,1126
,前回調査,8.7,47.3,8.2,30.2,5.6,1050
業種別,食品・飲料,12.8,66,0,14.9,6.4,47
業種別,衣料・身の回り品,8.6,30,11.4,44.3,5.7,70
業種別,住宅・建物,13.2,39.5,10.5,34.2,2.6,38
業種別,紙・印刷,9.9,53.6,5.9,28.8,1.8,222
業種別,材料・部品[非金属] ,6.6,61.8,5.1,23.5,2.9,136
業種別,材料・部品[金属] ,13.4,45.6,10.6,27.2,3.2,217
業種別,一般・精密機械,5.1,56.8,6.4,26.5,5.1,234
業種別,電機・電子,4.7,59.8,6.5,28,0.9,107
業種別,その他,6,52,14,24,4,50
従業者規模別,1～3人,13.1,25.3,16.2,42.4,3,99
従業者規模別,4～9人,8.9,45.7,8.1,33.1,4.2,405
従業者規模別,10～20人,6.1,54.2,8.4,27.9,3.4,262
従業者規模別,21～50人,9.1,66.5,3.8,17.7,2.9,209
従業者規模別,51～99人,5.3,70.7,5.3,17.3,1.3,75
従業者規模別,100人以上,9.1,70.9,0,18.2,1.8,55
創業時期別,1950年以前,7.5,57.5,9.5,23,2.5,200
創業時期別,1951～1960年,8.3,55.6,10.1,21.9,4.1,169
創業時期別,1961～1970年,7.8,49.7,5.7,34.2,2.6,193
創業時期別,1971～1980年,11.6,47.4,5.3,31.1,4.7,190
創業時期別,1981～1990年,6.3,57.5,3.9,30.7,1.6,127
創業時期別,1991～2000年,10,53.3,7.8,23.3,5.6,90
創業時期別,2001～2010年,9,50.7,11.9,25.4,3,67
創業時期別,2011年以降,7.5,52.8,9.4,30.2,0,53
