,,40歳未満(%) ,40歳代(%) ,50歳代(%) ,60歳代(%) ,70歳以上(%) ,無回答(%) ,n(件)
,今回調査（全体）,3.6,22.8,32.4,21.3,13.6,6.2,2527
,前回調査,3.8,24.6,27.5,22.5,14.8,6.8,2552
業種別,食品・飲料,8.9,26.6,32.9,22.8,7.6,1.3,79
業種別,衣料・身の回り品,4,12.8,25.7,22.6,27.4,7.5,226
業種別,住宅・建物,3.3,15.6,27.9,26.2,17.2,9.8,122
業種別,紙・印刷,2.8,23.3,36.7,20.7,11.2,5.4,502
業種別,材料・部品[非金属] ,3.8,30.8,31.5,21.9,5.8,6.2,260
業種別,材料・部品[金属] ,2,18.8,33,22.9,16.1,7.2,542
業種別,一般・精密機械,4.7,29.4,28.2,20.5,11.8,5.4,425
業種別,電機・電子,2.7,27.3,43.9,15.5,10.2,0.5,187
業種別,その他,7.1,17.1,28.2,20.6,15.3,11.8,170
従業者規模別,1～3人,1.4,7.1,26,30,27,8.6,1155
従業者規模別,4～9人,3.4,21,45.5,24.4,3.4,2.2,675
従業者規模別,10～20人,4.8,39,47.6,6.2,0.3,2.1,292
従業者規模別,21～50人,7.4,61.6,25.5,0.9,0.9,3.7,216
従業者規模別,51～99人,13,74,11.7,0,0,1.3,77
従業者規模別,100人以上,17.9,67.9,1.8,3.6,0,8.9,56
地域別,都心,8.1,43.9,24.3,18.5,1.2,4,173
地域別,副都心,7.7,25,32.1,17.3,11.9,6,168
地域別,城東都心近接,3.6,13.6,35.3,22.4,18.6,6.4,419
地域別,城東周辺,2.1,18.6,30.1,24.5,16,8.7,612
地域別,城西,1.9,23.9,30.3,24.5,12.3,7.1,155
地域別,城南,3.7,24.5,31.6,21.1,14.1,5,383
地域別,城北,2.3,22.7,34.7,21.6,13.6,5.1,176
地域別,多摩,3.6,26.3,37,17.2,11.1,4.8,441
