業種,従業者数(人),構成比(%)
印刷・同関連業,41599,16.9
食料品,29400,12.0
電気機械,23903,9.7
輸送用機械,20539,8.4
金属製品,17552,7.1
生産用機械,16754,6.8
業務用機械,13083,5.3
化学工業,10713,4.4
電子・デバイス,9760,4.0
その他,9587,3.9
ほか14業種,52961,21.5
従業者数_合計,245851,
