,,若手へ技能継承(%) ,雇用延長・再雇用(%) ,技能のある人材を中途採用(%) ,技能のマニュアル化(%) ,ＮＣ、ＭＣ機械等の活用(%) ,知識のデータベース化(%) ,教育訓練機関の活用(%) ,その他(%) ,何もしない・必要なし(%) ,無回答(%) ,n(件) 
,今回調査（全体）,48.4,45.7,30.9,18.4,7.7,10.8,3.8,1.4,16.9,2.6,1398
,前回調査,46.8,44.8,33.8,17.7,7.9,9.3,4.4,0.8,17.7,3.2,1327
業種別,食品・飲料,50.9,42.1,19.3,31.6,3.5,12.3,3.5,0,12.3,5.3,57
業種別,衣料・身の回り品,40.2,41.3,30.4,13,1.1,4.3,1.1,1.1,18.5,5.4,92
業種別,住宅・建物,44.4,37.8,28.9,11.1,11.1,8.9,4.4,2.2,13.3,2.2,45
業種別,紙・印刷,37.2,44.9,32.9,12.6,1.7,7.3,2.3,2,22.9,3.3,301
業種別,材料・部品[非金属] ,54.7,47.1,24.1,22.4,4.7,12.9,3.5,1.8,17.6,2.4,170
業種別,材料・部品[金属] ,51.5,42.1,30.8,16.5,12,9.4,4.9,1.5,16.2,2.3,266
業種別,一般・精密機械,53.6,55.4,35.6,22.5,15.7,15.7,6.4,1.1,12,0.4,267
業種別,電機・電子,57.3,50.8,36.3,23.4,6.5,13.7,2.4,0.8,12.1,1.6,124
業種別,その他,44.8,31.3,26.9,17.9,6,11.9,3,0,20.9,4.5,67
従業者規模別,1～3人,18.2,21.9,17.1,4.3,3.7,2.7,0.5,2.1,41.7,5.3,187
従業者規模別,4～9人,38,36,28.5,10.7,5.8,6,1.5,1.3,23.1,3.3,550
従業者規模別,10～20人,56.7,55,39.2,20.6,10,14.4,4.1,1.7,8.6,1.4,291
従業者規模別,21～50人,73.8,61.2,34.6,33.2,8.4,15.9,7.5,0.9,0.9,1.4,214
従業者規模別,51～99人,67.5,76.6,36.4,36.4,13,22.1,7.8,1.3,2.6,0,77
従業者規模別,100人以上,78.6,67.9,32.1,42.9,14.3,23.2,12.5,0,1.8,0,56
創業時期別,1950年以前,63.2,54.4,33.8,25.9,12.3,14.5,5.7,0.9,10.5,1.8,228
創業時期別,1951～1960年,50.7,51.7,34.1,17.6,5.4,8.8,5.9,2,15.1,2.4,205
創業時期別,1961～1970年,43,45.3,28.9,16,10.2,9.8,3.9,0.8,21.1,3.5,256
創業時期別,1971～1980年,45.5,49.1,31.1,18.5,5.9,12.2,4.5,0.5,12.6,1.8,222
創業時期別,1981～1990年,44.8,39,27.3,15.1,7.6,7.6,2.3,2.3,23.8,2.3,172
創業時期別,1991～2000年,43.5,41.7,27.8,19.4,4.6,13,0.9,0.9,14.8,1.9,108
創業時期別,2001～2010年,39.1,34.8,27.2,13,2.2,5.4,1.1,4.3,25,2.2,92
創業時期別,2011年以降,54.1,32.8,41,21.3,6.6,21.3,0,1.6,13.1,0,61
経営者年齢別,50歳未満,62.8,46.9,28,30.1,10.9,19.7,4.2,1.3,9.6,1.7,239
経営者年齢別,50歳代,47.4,44.7,31.8,19.6,8.8,9.8,3.4,1.5,16.9,1.2,409
経営者年齢別,60歳代,46,52.3,34.4,16.3,6.3,7.4,3.9,1.9,17.6,2.2,363
経営者年齢別,70歳以上,41.5,39.9,28.2,12.2,5.9,9.6,4,0.8,20.7,5.1,376
