,,企画開発(%) ,研究開発(%) ,設計(%) ,試作加工(%) ,製造・組立・加工(印刷を含む)(%)  ,営業・販売(%) ,原材料・部品調達(%) ,品質管理(%) ,物流(%) ,製品・技術の保守管理(アフターサービス)(%) ,その他(%) ,無回答(%) ,n(件)
,今回調査（全体）,14.2,11.8,20.9,30.2,96,34.7,27.8,19.1,6.5,14.2,1.5,1.1,2527
,前回調査,11.4,10.9,15.6,24.8,93.9,27.4,21.9,15.4,5.1,12.8,2,2.5,2552
業種別,食品・飲料,22.8,19,3.8,21.5,94.9,72.2,44.3,31.6,17.7,8.9,0,3.8,79
業種別,衣料・身の回り品,23.9,5.3,8.4,28.8,93.4,37.6,25.7,14.6,3.1,10.6,0.9,2.2,226
業種別,住宅・建物,9.8,3.3,16.4,19.7,99.2,31.1,24.6,7.4,6.6,9.8,2.5,0.8,122
業種別,紙・印刷,10.4,2.6,6.6,14.5,97.8,30.1,13.9,11,9,4,0.8,1.4,502
業種別,材料・部品[非金属] ,15.8,21.2,15,39.2,97.7,41.9,38.5,31.5,8.8,12.3,1.9,0.4,260
業種別,材料・部品[金属] ,4.6,6.5,15.9,33.4,95.4,21.2,24.4,15.1,4.2,7.4,1.8,1.1,542
業種別,一般・精密機械,14.8,19.8,41.2,40.2,94.4,35.5,30.8,23.5,4.9,26.8,1.6,0.7,425
業種別,電機・電子,25.7,31,57.8,40.1,97.3,42.8,48.1,36.9,8,39,0.5,0.5,187
業種別,その他,25.3,11.8,22.9,28.8,96.5,52.4,32.4,15.9,4.7,21.8,4.1,0,170
従業者規模別,1～3人,8.1,5,12,24.2,95.2,21.1,16.1,7.1,1.7,9.2,1.6,1.4,1155
従業者規模別,4～9人,15.9,10.8,22.4,31.1,96.7,36.7,31,17.3,6.8,14.8,1.2,1,675
従業者規模別,10～20人,21.6,19.9,30.1,38.7,96.9,50,38.7,36,9.6,20.9,1.4,1,292
従業者規模別,21～50人,24.5,25.5,38,40.3,97.7,58.8,44.9,40.7,16.2,25,2.8,0,216
従業者規模別,51～99人,23.4,31.2,36.4,37.7,100,68.8,57.1,55.8,20.8,22.1,1.3,0,77
従業者規模別,100人以上,30.4,42.9,53.6,50,98.2,76.8,75,67.9,23.2,30.4,1.8,0,56
地域別,都心,31.2,23.1,28.9,27.2,96,61.3,49.1,41.6,17.9,22.5,1.7,0,173
地域別,副都心,16.7,11.3,17.9,26.2,98.2,41.7,26.8,19,8.9,17.3,1.2,0,168
地域別,城東都心近接,11.7,7.2,13.8,25.5,97.4,32,25.1,13.8,6.9,11,1.4,1,419
地域別,城東周辺,9.3,6.5,15,24.8,96.2,26.6,19.6,12.3,4.4,9.8,0.7,1.5,612
地域別,城西,24.5,16.8,27.1,36.1,97.4,46.5,31,21.9,7.1,17.4,2.6,1.3,155
地域別,城南,12.3,13.3,23.5,40.7,92.2,29.8,30.5,22.7,4.4,15.7,2.6,1.6,383
地域別,城北,14.2,9.7,18.8,25.6,96.6,36.9,30.1,18.8,8,13.1,2.3,1.1,176
地域別,多摩,14.1,17.2,30.2,35.1,96.4,34.9,29.5,20.6,4.5,17.2,1.4,1.4,441
