,,設置・初期稼動の支援(%),顧客の状況に応じた調整(カスタマイズ)(%),運用ノウハウの供与(%),製品の稼働状況監視(%),製品・技術の保守・保証(アフターサービス)(%)        ,顧客の課題に応じた解決策の提案(ソリューション) (%)        ,その他(%),特になし(%),無回答(%),n(件)
,今回調査（全体）,7.1,31.8,4.2,1.7,17.6,21.1,0.6,44.6,8.3,2527
,前回調査,6.3,23.7,3.9,1.3,11.8,16.9,0.4,49.2,14.7,2552
業種別,食品・飲料,2.5,29.1,2.5,0,8.9,7.6,1.3,55.7,7.6,79
業種別,衣料・身の回り品,2.2,26.1,3.5,0.9,17.7,14.2,0.4,50.4,10.2,226
業種別,住宅・建物,11.5,27.9,2.5,0,19.7,18,0.8,42.6,6.6,122
業種別,紙・印刷,1,29.9,2.4,1.4,6,16.5,0.6,49.6,10.6,502
業種別,材料・部品[非金属] ,5.4,32.3,3.1,4.6,13.8,23.1,0,45.8,7.7,260
業種別,材料・部品[金属] ,4.1,26,3,1.1,12.5,19,0.7,49.3,9.2,542
業種別,一般・精密機械,17.9,42.8,8.2,1.9,33.4,33.2,0.5,32.5,5.2,425
業種別,電機・電子,18.2,37.4,7.5,3.7,32.1,26.7,0,37.4,4.8,187
業種別,その他,4.1,34.1,3.5,0.6,21.2,21.8,1.2,39.4,10.6,170
従業者規模別,1～3人,4.4,25.5,3,1,12.6,15.5,0.4,51.9,9.7,1155
従業者規模別,4～9人,8.1,36.1,3.7,2.4,18.5,23.9,0.9,38.8,8.7,675
従業者規模別,10～20人,11,38,7.2,2.4,24.7,27.4,0.3,36.3,6.8,292
従業者規模別,21～50人,12,39.8,6.5,3.7,24.5,27.3,0.5,37,5.6,216
従業者規模別,51～99人,6.5,46.8,2.6,1.3,24.7,41.6,1.3,31.2,1.3,77
従業者規模別,100人以上,17.9,41.1,12.5,0,39.3,28.6,0,35.7,0,56
創業時期別,1950年以前,7.1,37.3,4.3,1.2,20.2,24.5,0.9,39.8,8.1,322
創業時期別,1951～1960年,5.5,27.2,4.3,1.7,16.8,17.1,0.9,49.9,8.4,345
創業時期別,1961～1970年,5,27.9,3.7,1.7,15.3,20.7,0.4,49.7,8.3,459
創業時期別,1971～1980年,7.2,31.2,3.7,1.2,18.6,21.8,0.5,43.3,10.6,404
創業時期別,1981～1990年,9.8,32.5,2.7,1.8,20.1,23.1,0.3,42,8.3,338
創業時期別,1991～2000年,5.4,32.6,3.2,1.4,15.4,21.7,0.9,44.8,6.8,221
創業時期別,2001～2010年,10.6,40,6.5,1.8,19.4,24.7,0.6,33.5,6.5,170
創業時期別,2011年以降,13,38.3,10.4,5.2,21.7,22.6,0,40.9,4.3,115
経営者年齢別,50歳未満,8.9,42.9,3.9,2.1,22.3,30.7,0.6,36.6,5.7,336
経営者年齢別,50歳代,8.6,37.8,5.4,2.1,20.3,24.8,0.5,41,4.3,630
経営者年齢別,60歳代,7.6,33.4,4.3,1.9,18.8,20.4,0.3,44.7,6.4,622
経営者年齢別,70歳以上,5.1,22.8,3.3,1.3,13.3,15.8,0.8,49.9,13.3,916
