年度,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
製造業(%),28.7,7.5,8.8,-14.1,6.4,-2.5,16.4,8.0,-16.2,60.1
全産業(%),-3.8,3.2,21.2,4.1,0.6,-4.1,20.4,9.6,-20.8,19.0
