年度,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
都製造品出荷額等(億円),185856,199064,202691,189308,172049,163236,165434,164059,167959,160651,148761,148507,135376,117498,113061,111990,108082,103597,106383,102039,80236,82422,86993,81982,78518,81594,83742,77849,76283,75777,71608
都付加価値額(億円),72685,78577,79721,73030,66776,64523,65656,63829,63533,62669,58959,57848,52360,47473,46100,47834,46100,43550,41137,37945,30611,31356,35771,33283,30483,31932,32912,33051,32145,30743,28161
