,,直接輸出している(%) ,商社・卸などを通じて間接的に輸出している(%) ,把握していない(%) ,輸出していない(%) ,無回答(%) ,n(件) 
,今回調査（全体）,5.7,8.3,5.6,77.7,4.4,2527
,前回調査,4.7,10.4,7.8,67.5,11.1,2552
業種別,食品・飲料,6.3,8.9,1.3,83.5,3.8,79
業種別,衣料・身の回り品,1.3,4.9,4.4,84.5,4.9,226
業種別,住宅・建物,0.8,3.3,3.3,89.3,4.1,122
業種別,紙・印刷,2,1.2,3,90.8,3.4,502
業種別,材料・部品[非金属] ,6.2,10.8,7.3,73.5,3.5,260
業種別,材料・部品[金属] ,3.5,9.6,9.2,73.4,5.5,542
業種別,一般・精密機械,12,14.8,6.8,67.3,3.8,425
業種別,電機・電子,15,15.5,4.3,65.2,3.7,187
業種別,その他,6.5,5.9,2.9,78.8,7.1,170
従業者規模別,1～3人,1.3,4.2,8.6,80.5,5.5,1155
従業者規模別,4～9人,4.7,9.9,3.9,78.5,4.3,675
従業者規模別,10～20人,11,11.6,2.1,78.1,2.4,292
従業者規模別,21～50人,14.4,13.4,1.9,73.1,2.3,216
従業者規模別,51～99人,19.5,20.8,2.6,59.7,1.3,77
従業者規模別,100人以上,28.6,25,7.1,46.4,1.8,56
年間売上高別,500万円未満,1.3,1.6,7.7,82,7.4,377
年間売上高別,500万～1千万円未満,0.8,3.6,8.9,80.6,6.1,360
年間売上高別,1～3千万円未満,1.3,5.7,7.3,81.5,4.2,545
年間売上高別,3千万～1億円未満,3.5,8.8,4.7,80.3,3.9,512
年間売上高別,1～3億円未満,10.6,12,0.8,77.3,2.2,357
年間売上高別,3～10億円未満,17.7,18.6,1.8,67.7,2.7,220
年間売上高別,10～25億円未満,21.7,19.3,7.2,53,1.2,83
年間売上高別,25億円以上,28.3,25,1.7,55,1.7,60
売上高増減別(感染症発生前後),増加,14,11.7,2.8,69.3,4.5,179
売上高増減別(感染症発生前後),横ばい,6.8,9.2,7.3,76.7,1.8,455
売上高増減別(感染症発生前後),減少,4.6,7.7,5.6,78.9,4.8,1852
