,,特許権(%),実用新案権(%)  ,意匠権(%),商標権(%),その他(%),保有していない(%),無回答(%),n(件)
,今回調査（全体）,8.4,4.2,3.2,7.3,0.4,76.2,8.2,2527
業種別,食品・飲料,8.9,2.5,6.3,22.8,0,64.6,8.9,79
業種別,衣料・身の回り品,3.1,1.8,2.7,9.7,0,75.2,11.5,226
業種別,住宅・建物,4.1,1.6,0.8,1.6,0,87.7,6.6,122
業種別,紙・印刷,2.2,3,1.4,4,1,82.9,9,502
業種別,材料・部品[非金属] ,10.4,5.8,4.6,10.8,1.2,67.3,8.5,260
業種別,材料・部品[金属] ,5.7,3,1.8,2.8,0.2,82.7,8.1,542
業種別,一般・精密機械,16.9,5.9,3.8,9.6,0,71.3,5.9,425
業種別,電機・電子,22.5,6.4,6.4,11.2,0.5,66.8,4.8,187
業種別,その他,5.3,7.6,5.9,10.6,0,70.6,11.2,170
従業者規模別,1～3人,1.8,1.7,0.8,2.4,0.4,83.3,11,1155
従業者規模別,4～9人,6.7,4.9,2.8,6.4,0.1,78.7,8,675
従業者規模別,10～20人,14.4,6.2,4.8,13.7,0.3,70.5,3.8,292
従業者規模別,21～50人,21.3,8.3,7.9,15.7,1.4,58.3,3.2,216
従業者規模別,51～99人,37.7,7.8,9.1,26,0,45.5,0,77
従業者規模別,100人以上,46.4,16.1,23.2,28.6,0,35.7,3.6,56
創業時期別,1950年以前,15.5,6.5,6.5,11.2,0.3,66.5,7.5,322
創業時期別,1951～1960年,6.4,3.5,2.3,5.8,0.3,78.8,7.5,345
創業時期別,1961～1970年,8.1,5.7,2.8,5.7,1.3,78,7,459
創業時期別,1971～1980年,8.2,4,3,6.7,0,75.5,9.9,404
創業時期別,1981～1990年,5.6,2.7,2.1,4.4,0.3,77.5,11.2,338
創業時期別,1991～2000年,6.8,3.6,4.5,8.1,0.5,79.6,6.8,221
創業時期別,2001～2010年,12.4,4.1,2.9,11.8,0,74.7,5.9,170
創業時期別,2011年以降,10.4,3.5,2.6,14.8,0,73,4.3,115
経営者年齢別,50歳未満,10.7,3.9,5.1,10.7,0.3,74.1,5.7,336
経営者年齢別,50歳代,8.7,4.9,3.7,10.2,0.5,76.8,4.4,630
経営者年齢別,60歳代,10.6,4.8,3.9,8,0.3,75.1,6.8,622
経営者年齢別,70歳以上,6,3.4,1.9,3.6,0.3,77.1,12.7,916
