,,都心(%) ,副都心(%)        ,城東都心近接(%) ,城東周辺(%) ,城西(%) ,城南(%) ,城北(%) ,多摩(%) ,無回答(%) ,n(件)
,今回調査（全体）,6.8,6.6,16.6,24.2,6.1,15.2,7,17.5,0,2527
,前回調査,5.4,7.7,16.3,27.4,5.6,14.1,6.8,16.1,0.7,2552
業種別,食品・飲料,8.9,8.9,13.9,17.7,13.9,7.6,6.3,22.8,0,79
業種別,衣料・身の回り品,5.8,8,33.2,31.9,7.5,2.2,4.4,7.1,0,226
業種別,住宅・建物,7.4,9,15.6,29.5,8.2,5.7,1.6,23,0,122
業種別,紙・印刷,12.9,15.5,18.7,20.3,6.6,6.2,10.6,9.2,0,502
業種別,材料・部品[非金属] ,9.2,1.9,15.8,30.8,6.9,13.5,9.2,12.7,0,260
業種別,材料・部品[金属] ,1.8,1.8,16.4,31.7,3,22.3,6.6,16.2,0,542
業種別,一般・精密機械,4.2,4.5,8.7,18.4,4.7,28.9,5.2,25.4,0,425
業種別,電機・電子,7,3.2,6.4,8.6,9.6,20.9,5.9,38.5,0,187
業種別,その他,7.1,7.6,22.9,22.4,7.1,7.6,7.1,18.2,0,170
