,,変化はない(%)        ,現状の業務の周辺分野へ展開(%)         ,最終製品の製造に着手(%) ,製造業から他業種(流通・サービス業等)へ展開(%)             ,その他(%) ,無回答(%) ,n(件)
,今回調査（全体）,83.3,7.2,2,1.5,3.8,2.3,2527
,前回調査,83,8.1,1.4,1,3.1,3.3,2552
業種別,食品・飲料,78.5,15.2,0,1.3,0,5.1,79
業種別,衣料・身の回り品,77.4,8,2.7,3.5,4.9,3.5,226
業種別,住宅・建物,86.9,3.3,3.3,0.8,1.6,4.1,122
業種別,紙・印刷,82.3,9,1.2,1.2,3.6,2.8,502
業種別,材料・部品[非金属] ,87.3,6.5,2.7,0,2.7,0.8,260
業種別,材料・部品[金属] ,88.7,3.9,2,1.1,2.8,1.5,542
業種別,一般・精密機械,83.8,7.1,1.6,1.4,4.2,1.9,425
業種別,電機・電子,78.1,8.6,2.7,1.6,7,2.1,187
業種別,その他,77.1,10,1.8,3.5,6.5,1.2,170
従業者規模別,1～3人,86.5,3.6,1.6,1.3,4.6,2.4,1155
従業者規模別,4～9人,81.6,9,2.2,2.2,2.4,2.5,675
従業者規模別,10～20人,79.8,10.3,3.8,1,3.4,1.7,292
従業者規模別,21～50人,79.6,12,2.3,0.9,3.2,1.9,216
従業者規模別,51～99人,76.6,15.6,0,1.3,6.5,0,77
従業者規模別,100人以上,83.9,7.1,0,1.8,7.1,0,56
地域別,都心,74.6,13.3,2.9,2.9,5.8,0.6,173
地域別,副都心,85.1,6.5,1.2,3.6,2.4,1.2,168
地域別,城東都心近接,83.5,6.9,1.4,1.7,4.1,2.4,419
地域別,城東周辺,85,5.1,1.8,1.3,3.9,2.9,612
地域別,城西,81.3,8.4,0.6,1.9,4.5,3.2,155
地域別,城南,85.6,6.3,2.6,0.8,2.6,2.1,383
地域別,城北,86.4,5.7,1.1,0.6,4.5,1.7,176
地域別,多摩,81,9.1,2.9,0.9,3.4,2.7,441
