,,増加(%) ,横ばい(%) ,減少(%) ,無回答(%) ,n(件) 
,今回調査（全体）,3.5,73.8,16.1,6.5,2527
業種別,食品・飲料,6.3,78.5,12.7,2.5,79
業種別,衣料・身の回り品,2.2,69.9,19.9,8,226
業種別,住宅・建物,1.6,70.5,13.1,14.8,122
業種別,紙・印刷,2.6,73.5,19.3,4.6,502
業種別,材料・部品[非金属] ,2.7,80.4,11.5,5.4,260
業種別,材料・部品[金属] ,3.9,72.1,15.1,8.9,542
業種別,一般・精密機械,5.9,74.6,15.3,4.2,425
業種別,電機・電子,5.3,75.4,15,4.3,187
業種別,その他,0.6,72.9,18.2,8.2,170
従業者規模別,1～3人,0.7,75.1,14.5,9.8,1155
従業者規模別,4～9人,2.2,78.7,16.3,2.8,675
従業者規模別,10～20人,6.2,70.5,19.2,4.1,292
従業者規模別,21～50人,14.8,64.4,17.1,3.7,216
従業者規模別,51～99人,6.5,77.9,13,2.6,77
従業者規模別,100人以上,14.3,62.5,23.2,0,56
地域別,都心,4,72.8,20.8,2.3,173
地域別,副都心,4.8,74.4,16.7,4.2,168
地域別,城東都心近接,1.2,75.7,16,7.2,419
地域別,城東周辺,2.1,73.4,14.4,10.1,612
地域別,城西,5.8,74.8,16.1,3.2,155
地域別,城南,4.4,77.8,12.5,5.2,383
地域別,城北,3.4,73.3,18.8,4.5,176
地域別,多摩,5.4,69.4,18.6,6.6,441
