,,増加(%) ,横ばい(%) ,減少(%) ,無回答(%) ,n(件) 
,今回調査（全体）,9.4,64,20,6.6,1388
業種別,食品・飲料,10.7,51.8,28.6,8.9,56
業種別,衣料・身の回り品,3.3,57.8,27.8,11.1,90
業種別,住宅・建物,4.4,75.6,8.9,11.1,45
業種別,紙・印刷,6.7,63.9,24.1,5.4,299
業種別,材料・部品[非金属] ,7.1,69,14.9,8.9,168
業種別,材料・部品[金属] ,9.5,66.3,17.4,6.8,264
業種別,一般・精密機械,14.2,61.4,18.7,5.6,267
業種別,電機・電子,12.9,66.9,16.1,4,124
業種別,その他,12.1,54.5,30.3,3,66
従業者規模別,1～3人,2.2,65,16.9,15.8,183
従業者規模別,4～9人,6.6,64.5,21.7,7.3,549
従業者規模別,10～20人,9,66.1,19.4,5.5,289
従業者規模別,21～50人,17.4,61.5,19.7,1.4,213
従業者規模別,51～99人,14.3,68.8,13,3.9,77
従業者規模別,100人以上,24.1,50,24.1,1.9,54
地域別,都心,13.5,59.4,23.3,3.8,133
地域別,副都心,8.8,65.7,21.6,3.9,102
地域別,城東都心近接,5.2,63.9,24.6,6.3,191
地域別,城東周辺,6.6,66.6,17.4,9.4,287
地域別,城西,8.9,70.9,13.9,6.3,79
地域別,城南,11,66.7,16.4,5.9,219
地域別,城北,9.3,66,19.6,5.2,97
地域別,多摩,12.1,58.2,22.1,7.5,280
年間売上高増減別(3年前),増加,23.4,60.8,10.5,5.3,209
年間売上高増減別(3年前),横ばい,12.8,67.8,11.7,7.7,298
年間売上高増減別(3年前),減少,4.8,63.8,25.5,5.9,867
