,,1～3人(%) ,4～9人(%) ,10～20人(%) ,21～50人(%) ,51～99人(%) ,100人以上(%) ,無回答(%) ,n(件)
,今回調査（全体）,45.7,26.7,11.6,8.5,3,2.2,2.2,2527
,前回調査,46.6,25,13,7.6,3,2.4,2.3,2552
業種別,食品・飲料,24.1,35.4,11.4,13.9,2.5,7.6,5.1,79
業種別,衣料・身の回り品,63.7,21.7,7.5,4.4,0.9,0.4,1.3,226
業種別,住宅・建物,66.4,22.1,4.9,2.5,1.6,0.8,1.6,122
業種別,紙・印刷,44.6,27.3,13.5,8.4,2.6,1.2,2.4,502
業種別,材料・部品[非金属] ,32.7,28.5,15.8,13.5,5,3.8,0.8,260
業種別,材料・部品[金属] ,50,26.8,9.8,6.5,2.6,1.5,3,542
業種別,一般・精密機械,37.4,28.7,12.9,11.1,4.2,3.1,2.6,425
業種別,電機・電子,30.5,26.7,17.1,13.4,4.8,5.3,2.1,187
業種別,その他,64.7,24.7,2.9,4.7,2.4,0,0.6,170
地域別,都心,29.5,17.9,17.3,16.8,7.5,10.4,0.6,173
地域別,副都心,41.1,31,10.7,6.5,7.1,1.2,2.4,168
地域別,城東都心近接,54.7,25.5,8.4,5.3,2.1,1.9,2.1,419
地域別,城東周辺,51.6,27.5,10.5,6.7,1.1,0.5,2.1,612
地域別,城西,54.2,21.9,12.3,5.2,3.2,1.3,1.9,155
地域別,城南,41.8,27.2,14.1,10.7,2.9,2.3,1,383
地域別,城北,48.3,27.3,8,9.1,2.3,2.8,2.3,176
地域別,多摩,36.5,29.7,13.2,10.9,3.6,2,4.1,441
