,,増加,増加,,減少,減少,,,
,,大幅(20％以上)増加(%) ,やや(20％未満)増加(%) ,ほぼ横ばい(±5％未満)(%) ,やや(20％未満)減少(%) ,大幅(20％以上)減少(%) ,3年前は輸出していない(%) ,無回答(%) ,n(件) 
,今回調査（全体）,2.9,13.6,44.2,13,15.3,3.6,7.5,308
業種別,食品・飲料,0,44.4,22.2,11.1,22.2,0,0,9
業種別,衣料・身の回り品,0,14.3,42.9,7.1,14.3,7.1,14.3,14
業種別,住宅・建物,25,25,50,0,0,0,0,4
業種別,紙・印刷,0,0,57.1,7.1,28.6,0,7.1,14
業種別,材料・部品[非金属] ,7.5,20,47.5,12.5,7.5,0,5,40
業種別,材料・部品[金属] ,1.6,17.2,35.9,14.1,20.3,0,10.9,64
業種別,一般・精密機械,3.2,6.4,47.9,12.8,19.1,4.3,6.4,94
業種別,電機・電子,2,10,56,14,6,8,4,50
業種別,その他,0,23.5,11.8,23.5,11.8,11.8,17.6,17
従業者規模別,1～3人,1.6,4.9,41,6.6,21.3,8.2,16.4,61
従業者規模別,4～9人,2.2,13.3,40,13.3,20,3.3,7.8,90
従業者規模別,10～20人,3.9,11.8,49,13.7,15.7,2,3.9,51
従業者規模別,21～50人,6.1,16.3,44.9,14.3,8.2,4.1,6.1,49
従業者規模別,51～99人,0,21.4,46.4,17.9,10.7,0,3.6,28
従業者規模別,100人以上,4.2,20.8,50,20.8,4.2,0,0,24
経営者年齢別,50歳未満,1.7,15.3,57.6,6.8,13.6,0,5.1,59
経営者年齢別,50歳代,2.5,20.3,38,19,10.1,5.1,5.1,79
経営者年齢別,60歳代,3.6,9.5,39.3,14.3,21.4,4.8,7.1,84
経営者年齢別,70歳以上,2.4,10.6,45.9,10.6,15.3,3.5,11.8,85
