年度,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
愛知(億円),345249,354837,368136,395140,437263,474827,464212,344313,382108,370156,400332,420018,438313,460483,449090,469681,487220,479244
神奈川(億円),179637,187522,185660,194002,201502,202012,194975,148684,172467,178506,174613,172261,177211,174772,162882,179564,184431,177461
静岡(億円),161851,159638,166998,173227,182347,194103,191777,150510,157931,149497,157077,156991,160507,163720,161322,167871,175394,171540
東京(億円),117498,113061,111990,108082,103597,106383,102039,80236,82422,86993,81982,78518,81594,83742,77849,76283,75777,71608
