,,取引先(顧客)との信頼関係の構築(%) ,企画・提案力の向上(%) ,営業力の強化(%) ,試作開発力の向上(%) ,研究開発力の向上(%) ,製品開発力の向上(%) ,生産設備の充実(%) ,高品質化(%) ,短納期化(%) ,低コスト化(%) ,多品種小ロット対応(%) ,量産化対応(%) ,加工技術の向上(%) ,独自技術の開発・向上(%) ,自社製品の開発(%) ,自社ブランドの構築・確立(%) ,サービス(カスタマイズ・アフターサービス等)の提供(%) ,産学公連携の活用(%) ,他社との事業連携(%) ,情報化（ＩＣＴの利活用等）(%) ,その他(%) ,特になし(%) ,無回答(%) ,n(件) 
,今回調査（全体）,59.9,17.2,21.4,10.5,8,15,14.2,28.8,24.5,17.6,21.4,5.5,29.7,10.6,11.3,7.7,6.3,1.3,6.9,3.1,0.3,16,1.3,2527
業種別,食品・飲料,60.8,21.5,36.7,17.7,20.3,25.3,19,40.5,11.4,19,20.3,6.3,19,10.1,26.6,21.5,6.3,3.8,11.4,5.1,0,10.1,2.5,79
業種別,衣料・身の回り品,54.4,21.2,15,11.1,6.6,14.2,9.7,24.3,15.9,10.6,19.9,4,25.7,9.3,12.8,13.3,4.9,1.3,3.5,1.3,0,23,2.7,226
業種別,住宅・建物,59,13.9,13.9,3.3,5.7,9,6.6,19.7,13.1,12.3,9.8,4.1,19.7,7.4,9.8,6.6,3.3,0.8,6.6,0,0.8,23.8,0,122
業種別,紙・印刷,66.9,20.5,28.7,5.6,3,5,12.5,26.7,27.1,18.1,26.5,4.2,22.7,5.8,4.6,2.2,5.4,0.4,9.6,3.6,0.2,15.7,0.8,502
業種別,材料・部品[非金属] ,55.4,16.2,25,12.3,11.2,16.5,17.7,33.5,22.7,22.7,21.2,7.7,29.6,11.5,16.5,11.9,6.2,2.3,6.2,5,0.8,15,2.7,260
業種別,材料・部品[金属] ,60.3,10.1,13.8,7.9,3.7,11.8,14.9,25.8,29.5,15.5,22.1,6.5,36.7,7.9,6.8,4.1,2.8,0.2,5.2,2.6,0.2,17.7,0.9,542
業種別,一般・精密機械,62.1,17.9,24.5,16.9,13.4,23.1,20.9,36.5,29.9,22.8,22.6,6.8,38.4,17.9,14.4,7.8,10.1,3.3,8.7,3.5,0.5,10.6,0.5,425
業種別,電機・電子,53.5,18.2,22.5,17.6,16,28.9,13.4,25.7,21.4,21.4,19.3,6.4,23,13.9,18.2,11.2,12.3,1.6,7,3.2,0,12.8,1.1,187
業種別,その他,53.5,23.5,18.2,7.6,5.9,17.6,5.3,28.8,18.2,11.2,15.3,1.8,32.9,15.9,14.7,11.8,8.8,0.6,4.7,3.5,0,18.8,1.8,170
従業者規模別,1～3人,51.8,9.2,8.2,6.2,3.4,7.4,4.5,19.7,19.8,12.3,15.4,2.2,24.8,5.9,5.2,3.6,2.9,0.3,3.9,0.8,0.3,26.9,1.6,1155
従業者規模別,4～9人,64.1,18.4,21.9,10.7,7.3,15.9,15.3,28.4,25.2,16.7,22.2,5.2,31.6,10.5,12.4,8.3,7.9,1.2,9.5,2.4,0.1,8.3,1.3,675
従業者規模別,10～20人,74,26.7,38.7,16.8,12,24,25.7,42.5,34.9,20.5,33.2,9.6,36,15.1,21.2,13,7.9,3.1,8.9,6.8,0,3.8,1.4,292
従業者規模別,21～50人,71.3,30.6,44.9,19,16.2,26.4,30.6,44.9,31.5,28.7,29.2,11.6,36.6,20.8,20.8,14.8,11.1,3.2,8.8,6,0.5,2.8,0,216
従業者規模別,51～99人,71.4,36.4,58.4,15.6,27.3,32.5,45.5,57.1,31.2,41.6,37.7,16.9,42.9,23.4,19.5,14.3,20.8,3.9,13,13,1.3,0,0,77
従業者規模別,100人以上,58.9,39.3,55.4,21.4,32.1,44.6,37.5,46.4,23.2,55.4,21.4,17.9,28.6,19.6,23.2,16.1,14.3,3.6,10.7,14.3,0,1.8,0,56
売上高増減別(感染症発生前後),増加,66.5,24,33,18.4,16.8,26.8,26.3,39.7,30.2,24,26.3,11.7,34.1,20.7,25.1,16.8,15.6,2.8,7.8,5,0,6.1,0.6,179
売上高増減別(感染症発生前後),横ばい,58.7,15.2,19.1,11.9,9,16.9,14.3,25.9,25.7,18.5,21.3,4.8,31,12.1,11.9,7,5.1,2.2,7.3,3.1,0.4,17.4,0.9,455
売上高増減別(感染症発生前後),減少,59.4,17,20.8,9.2,6.8,13.4,13.2,28.3,23.5,16.8,21.1,4.9,28.9,9.2,9.9,7.1,5.7,0.9,6.8,2.8,0.3,16.7,1.4,1852
