,,都内のみ(%)           ,国内のみ(%) ,国内・海外(%) ,無回答(%) ,n(件)
,今回調査（全体）,78.1,19.5,1.3,1.1,2527
,前回調査,79.9,17,1.5,1.7,2552
業種別,食品・飲料,68.4,29.1,1.3,1.3,79
業種別,衣料・身の回り品,80.5,18.1,0.4,0.9,226
業種別,住宅・建物,82,15.6,0.8,1.6,122
業種別,紙・印刷,86.3,12.2,0.2,1.4,502
業種別,材料・部品[非金属] ,66.5,31.5,1.5,0.4,260
業種別,材料・部品[金属] ,82.8,15.1,1.3,0.7,542
業種別,一般・精密機械,70.8,25.4,2.4,1.4,425
業種別,電機・電子,69.5,27.3,1.6,1.6,187
業種別,その他,82.9,12.9,3.5,0.6,170
従業者規模別,1～3人,92.4,6.2,0.3,1.1,1155
従業者規模別,4～9人,81.6,17,0.7,0.6,675
従業者規模別,10～20人,66.8,32.2,0.7,0.3,292
従業者規模別,21～50人,46.8,49.1,3.2,0.9,216
従業者規模別,51～99人,19.5,67.5,13,0,77
従業者規模別,100人以上,14.3,75,10.7,0,56
地域別,都心,49.1,43.9,5.8,1.2,173
地域別,副都心,74.4,22.6,0.6,2.4,168
地域別,城東都心近接,80.9,16.9,0.7,1.4,419
地域別,城東周辺,85.3,13.9,0.5,0.3,612
地域別,城西,80,18.7,0.6,0.6,155
地域別,城南,77.3,20.9,1.3,0.5,383
地域別,城北,78.4,19.9,0.6,1.1,176
地域別,多摩,78.2,17.7,2.3,1.8,441
