業種,付加価値額(億円),構成比(%)
輸送用機械,4343,15.4
印刷・同関連業,3590,12.7
電気機械,3298,11.7
食料品,2583,9.2
"情報通信
機械",1803,6.4
化学工業,1753,6.2
生産用機械,1745,6.2
業務用機械,1380,4.9
金属製品,1352,4.8
電子・デバイス,1067,3.8
ほか14業種,5246,18.6
付加価値額_合計(億円),28161,
