,,500万円未満(%) ,500万～1千万円未満(%) ,1～3千万円未満(%) ,3千万～1億円未満(%) ,1～3億円未満(%) ,3～10億円未満(%) ,10～25億円未満(%) ,25億円以上(%) ,無回答(%) ,n(件) 
,今回調査（全体）,14.9,14.2,21.6,20.3,14.1,8.7,3.3,2.4,0.5,2527
,前回調査,17.2,12.7,19.6,19.4,15.4,8.3,3.2,2.6,1.8,2552
業種別,食品・飲料,11.4,10.1,12.7,29.1,13.9,10.1,5.1,7.6,0,79
業種別,衣料・身の回り品,28.8,20.4,21.2,14.6,8.8,3.1,1.3,1.3,0.4,226
業種別,住宅・建物,18,20.5,31.1,17.2,8.2,0.8,2.5,1.6,0,122
業種別,紙・印刷,14.3,12.9,21.1,23.7,16.3,7.6,2.6,0.8,0.6,502
業種別,材料・部品[非金属] ,9.6,10.4,17.7,21.9,14.6,13.5,6.9,5,0.4,260
業種別,材料・部品[金属] ,15.1,18.5,24,19.4,12.2,6.5,1.7,2.2,0.6,542
業種別,一般・精密機械,11.1,10.1,19.5,19.8,20.2,13.4,3.1,2.8,0,425
業種別,電機・電子,5.3,8.6,19.3,22.5,15.5,16.6,7,3.7,1.6,187
業種別,その他,25.9,17.1,26.5,15.3,7.6,3.5,4.1,0,0,170
従業者規模別,1～3人,30.7,26.8,30.8,9.5,1.3,0.1,0,0,0.8,1155
従業者規模別,4～9人,0.9,5.6,25.2,49.6,15.3,2.7,0.1,0.1,0.4,675
従業者規模別,10～20人,0,0.7,2.7,20.5,57.9,15.8,1.4,0.7,0.3,292
従業者規模別,21～50人,0.5,0.5,0.9,1.9,27.8,55.6,8.3,4.6,0,216
従業者規模別,51～99人,0,0,0,0,0,29.9,53.2,16.9,0,77
従業者規模別,100人以上,0,0,0,0,3.6,7.1,32.1,57.1,0,56
地域別,都心,6.4,5.8,15.6,15.6,16.2,15.6,11.6,12.7,0.6,173
地域別,副都心,14.3,14.9,17.3,19.6,16.1,9.5,5.4,3,0,168
地域別,城東都心近接,19.3,17.9,20.5,22.2,10.3,5.7,1.7,2.1,0.2,419
地域別,城東周辺,19.6,15.7,23,21.7,11.9,4.7,1.6,1,0.7,612
地域別,城西,20.6,13.5,23.2,17.4,12.3,7.7,2.6,1.9,0.6,155
地域別,城南,9.1,13.6,22.7,20.9,15.4,13.6,2.6,1.8,0.3,383
地域別,城北,11.9,17,23.3,20.5,12.5,9.1,4,1.7,0,176
地域別,多摩,12,11.6,22.2,18.8,19.5,10,3.6,1.1,1.1,441
