年度,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
都事業所数(所),40286,41374,38956,36415,36457,33289,33122,30815,29475,32411,29309,28682,25733,23051,23521,21035,21296,19038,18681,19287,16469,15082,16664,14040,12780,12156,13459,10789,10322,9870,9887
都従業者数(人),718251,722261,705983,678379,646801,606691,588207,563628,548679,560094,515839,496394,462223,425625,414015,392609,382831,367209,371206,362825,324995,310022,321859,292976,279770,269815,269197,252315,251310,246895,245851
