,,10％未満(%) ,10～20％未満(%) ,20～40％未満(%) ,40～60％未満(%) ,60～80％未満(%) ,80％以上(%) ,無回答(%) ,n(件) 
,今回調査（全体）,8,16.1,26.6,17.3,12,17.6,2.4,2527
,前回調査,9.1,18,25.9,14.8,10.9,15.2,6,2552
業種別,食品・飲料,13.9,19,29.1,10.1,12.7,12.7,2.5,79
業種別,衣料・身の回り品,6.2,8,23.9,20.4,12.8,23,5.8,226
業種別,住宅・建物,5.7,24.6,23,20.5,10.7,12.3,3.3,122
業種別,紙・印刷,10,20.9,26.9,16.1,11,13.1,2,502
業種別,材料・部品[非金属] ,6.9,16.5,30.4,16.2,11.5,16.5,1.9,260
業種別,材料・部品[金属] ,5.4,14.2,28.2,20.3,12.5,17.5,1.8,542
業種別,一般・精密機械,8,13.6,26.1,16.9,12.5,20.2,2.6,425
業種別,電機・電子,9.1,17.1,23.5,14.4,11.8,21.9,2.1,187
業種別,その他,13.5,15.3,26.5,12.9,11.8,18.8,1.2,170
従業者規模別,1～3人,5.6,12.7,23.3,18.6,13.9,23.1,2.7,1155
従業者規模別,4～9人,8.9,16,29.2,17.6,11.9,14.2,2.2,675
従業者規模別,10～20人,8.2,21.6,29.8,15.4,10.6,12.7,1.7,292
従業者規模別,21～50人,8.8,25.5,34.3,12.5,5.6,11.1,2.3,216
従業者規模別,51～99人,18.2,15.6,31.2,14.3,9.1,9.1,2.6,77
従業者規模別,100人以上,28.6,30.4,10.7,16.1,7.1,5.4,1.8,56
年間売上高第1位の取引先(顧客)の属性別,大手メーカー,7.3,16.8,24.2,18.1,13.6,17.9,1.9,463
年間売上高第1位の取引先(顧客)の属性別,中堅メーカー,4.7,14,28,19.2,14,18.7,1.5,407
年間売上高第1位の取引先(顧客)の属性別,中小・零細メーカー,6.7,15.5,27.9,18.6,11.2,18.4,1.6,748
年間売上高第1位の取引先(顧客)の属性別,卸売業・代理店・商社,9.2,15.9,29.6,16.5,10.1,15.4,3.4,358
年間売上高第1位の取引先(顧客)の属性別,小売業,16.8,20.4,20.4,13.2,10.2,16.2,3,167
年間売上高第1位の取引先(顧客)の属性別,サービス業,16.9,23.1,33.8,12.3,7.7,4.6,1.5,65
年間売上高第1位の取引先(顧客)の属性別,官公庁・大学等,9.6,23.1,28.8,17.3,11.5,3.8,5.8,52
年間売上高第1位の取引先(顧客)の属性別,その他,10.4,13.9,20.8,11.9,14.9,24.8,3.5,202
