,,増加(%) ,横ばい(%) ,減少(%) ,いない(%) ,無回答(%) ,n(件) 
,今回調査（全体）,7.9,47.6,14.2,24.9,5.4,1388
業種別,食品・飲料,5.4,50,28.6,10.7,5.4,56
業種別,衣料・身の回り品,5.6,45.6,22.2,20,6.7,90
業種別,住宅・建物,8.9,44.4,11.1,24.4,11.1,45
業種別,紙・印刷,5.7,48.2,13.4,27.4,5.4,299
業種別,材料・部品[非金属] ,4.8,57.7,13.7,17.9,6,168
業種別,材料・部品[金属] ,6.4,42.8,11.7,32.6,6.4,264
業種別,一般・精密機械,12.4,43.4,12.7,26.2,5.2,267
業種別,電機・電子,12.1,54,11.3,19.4,3.2,124
業種別,その他,9.1,45.5,19.7,25.8,0,66
従業者規模別,1～3人,0.5,35,13.1,41.5,9.8,183
従業者規模別,4～9人,5.8,44.3,13.7,29.5,6.7,549
従業者規模別,10～20人,10.7,51.9,12.8,19.7,4.8,289
従業者規模別,21～50人,11.7,55.9,12.7,17.8,1.9,213
従業者規模別,51～99人,11.7,61,16.9,7.8,2.6,77
従業者規模別,100人以上,11.1,55.6,25.9,7.4,0,54
地域別,都心,11.3,42.1,15.8,28.6,2.3,133
地域別,副都心,8.8,45.1,11.8,30.4,3.9,102
地域別,城東都心近接,3.1,49.7,16.2,24.6,6.3,191
地域別,城東周辺,5.6,50.5,13.6,23.7,6.6,287
地域別,城西,5.1,53.2,15.2,21.5,5.1,79
地域別,城南,7.8,45.2,13.2,27.9,5.9,219
地域別,城北,11.3,39.2,12.4,30.9,6.2,97
地域別,多摩,11.1,50,14.6,19.3,5,280
年間売上高増減別(3年前),増加,17.2,49.3,10,18.7,4.8,209
年間売上高増減別(3年前),横ばい,7.7,55.7,9.1,21.1,6.4,298
年間売上高増減別(3年前),減少,5.5,44.8,17,28,4.7,867
