,,取引先(顧客)との近接性(%),取引先(顧客)との信頼関係(%),企画・提案力(%),営業力(%),試作開発力(%),研究開発力(%),製品開発力(%),充実した生産設備(%),高品質(%),短納期(%),低価格(%),多品種小ロット対応(%),量産能力(%),加工技術(%),独自技術(%),自社製品(%),自社ブランド(%),サービス（カスタマイズ・アフターサービス等）の提供(%),その他(%),特になし(%),無回答(%),n(件)
,今回調査（全体）,27.4,66.9,14.8,12.9,11.8,7.4,14.8,6.5,29.5,32.5,18.6,27.9,9.5,34.2,19.7,19.6,12,8.7,0.9,3.5,0.3,634
業種別,食品・飲料,30.4,60.9,21.7,26.1,17.4,4.3,13,4.3,39.1,8.7,26.1,8.7,13,8.7,21.7,34.8,17.4,4.3,0,0,0,23
業種別,衣料・身の回り品,16.7,64.3,19,14.3,14.3,7.1,23.8,9.5,23.8,28.6,7.1,31,11.9,35.7,16.7,19,16.7,7.1,2.4,2.4,0,42
業種別,住宅・建物,13,56.5,13,8.7,0,0,13,0,13,17.4,13,8.7,8.7,43.5,17.4,17.4,4.3,8.7,4.3,0,8.7,23
業種別,紙・印刷,40,67.1,8.2,17.6,3.5,2.4,2.4,7.1,24.7,45.9,18.8,32.9,3.5,27.1,7.1,4.7,1.2,4.7,0,7.1,0,85
業種別,材料・部品[非金属] ,30.1,72.3,14.5,10.8,13.3,9.6,15.7,9.6,36.1,34.9,19.3,27.7,13.3,34.9,18.1,26.5,13.3,4.8,1.2,1.2,0,83
業種別,材料・部品[金属] ,25,66.2,9.6,8.1,8.8,3.7,8.1,5.1,27.2,34.6,23.5,33.8,15.4,46.3,17.6,15.4,8.1,3.7,0.7,5.1,0,136
業種別,一般・精密機械,26.9,69.4,17.2,16.4,15.7,8.2,19.4,8.2,35.1,29.1,17.9,20.1,6,36.6,26.9,25.4,11.9,17.9,1.5,2.2,0,134
業種別,電機・電子,23.1,62.8,17.9,10.3,17.9,19.2,24.4,3.8,26.9,33.3,17.9,35.9,7.7,21.8,29.5,23.1,25.6,12.8,0,2.6,0,78
業種別,その他,28.6,67.9,32.1,10.7,14.3,7.1,25,3.6,28.6,28.6,14.3,25,0,28.6,17.9,17.9,17.9,7.1,0,7.1,0,28
従業者規模別,1～3人,21.7,61.5,7.8,4.9,7.4,3.3,10.7,2.9,19.3,33.6,24.6,25,4.5,33.6,15.6,13.1,9.4,4.5,1.2,7,0.8,244
従業者規模別,4～9人,28.6,66.1,16.7,10.7,12.5,6,16.7,1.8,25,26.8,15.5,23.2,6,32.7,17.3,22,10.1,8.9,0,2.4,0,168
従業者規模別,10～20人,29.9,82.8,14.9,17.2,18.4,14.9,24.1,9.2,40.2,39.1,20.7,34.5,14.9,39.1,25.3,28.7,16.1,10.3,1.1,0,0,87
従業者規模別,21～50人,42.9,71.4,23.4,28.6,13,10.4,9.1,18.2,46.8,37.7,11.7,37.7,15.6,41.6,29.9,20.8,15.6,16.9,1.3,1.3,0,77
従業者規模別,51～99人,23.1,65.4,19.2,30.8,11.5,7.7,15.4,7.7,42.3,30.8,3.8,38.5,19.2,26.9,23.1,26.9,19.2,15.4,3.8,0,0,26
従業者規模別,100人以上,21.7,56.5,34.8,21.7,17.4,17.4,30.4,26.1,43.5,21.7,13,30.4,30.4,21.7,21.7,26.1,21.7,8.7,0,0,0,23
