,,取得に見合う価値があるかどうかわからない(%),取得するべき技術等がない(%),取得方法がわからない(%),手続きに詳しい人材がいない(%),取得に時間がかかる(%),取得に費用がかかる(%),維持費用がかかる(%),保有技術は公表したくない(%),活用方法がわからない(%),取得しても大企業から権利を侵害される(%),その他(%),必要性を感じていない(%),特になし(%),無回答(%),n(件)
,今回調査（全体）,11.5,27.9,4.6,4.1,3.7,6.5,4.8,3.4,2.7,1.7,1.4,24.9,32.8,6.7,1925
業種別,食品・飲料,17.6,19.6,3.9,3.9,5.9,9.8,7.8,5.9,2,0,2,27.5,31.4,5.9,51
業種別,衣料・身の回り品,12.9,28.2,2.4,2.4,3.5,6.5,2.9,0.6,0.6,0.6,0.6,21.8,33.5,8.8,170
業種別,住宅・建物,11.2,22.4,2.8,0.9,2.8,5.6,1.9,0.9,1.9,0.9,0,30.8,36.4,8.4,107
業種別,紙・印刷,7.2,33.7,4.1,3.4,2.9,4.6,2.9,1.9,2.4,1.4,1,24.8,35.3,5.8,416
業種別,材料・部品[非金属] ,13.7,26.9,4,4.6,2.3,6.3,6.3,8,3.4,2.9,2.3,30.9,26.3,7.4,175
業種別,材料・部品[金属] ,9.6,26.1,5.8,4.7,2.9,6,3.6,3.1,2.9,1.6,1.1,23.2,37.7,6.7,448
業種別,一般・精密機械,15.5,27.4,5,6.9,5,7.9,7.3,4.3,3.6,3,1.3,23.8,26.7,7.6,303
業種別,電機・電子,12.8,32,6.4,2.4,4,4,6.4,4.8,2.4,0,4.8,20.8,30.4,4,125
業種別,その他,15.8,21.7,5,4.2,8.3,14.2,10,4.2,4.2,3.3,1.7,30.8,28.3,5,120
従業者規模別,1～3人,9,25.6,3.7,2.8,2.6,5.6,4,2.7,2.7,1.6,1.4,25.6,38.3,5.9,962
従業者規模別,4～9人,14.9,29.2,5.6,4.9,4.5,7.5,5.8,3.8,2.4,1.5,1.1,26,28.4,6.8,531
従業者規模別,10～20人,14.1,31.6,6.8,8.3,5.3,9.2,6.8,3.4,4.4,1.5,2.4,28.2,20.9,9.2,206
従業者規模別,21～50人,11.1,31,4,4,5.6,4.8,5.6,7.1,0.8,4,1.6,19.8,26.2,8.7,126
従業者規模別,51～99人,14.3,40,0,0,5.7,8.6,5.7,5.7,0,0,0,8.6,34.3,2.9,35
従業者規模別,100人以上,10,45,10,10,0,0,5,10,5,5,0,15,25,5,20
創業時期別,1950年以前,13.1,25.7,6.1,4.7,2.8,4.7,5.1,5.1,3.3,3.3,1.9,22.9,27.6,9.8,214
創業時期別,1951～1960年,16.9,36,5.5,2.9,1.8,5.5,4.4,4.4,2.6,1.5,2.2,30.9,28.7,4,272
創業時期別,1961～1970年,9.5,24.9,4.7,5,4.7,7,2.8,2.8,2.2,2,0.8,27.4,34.4,8.1,358
創業時期別,1971～1980年,8.5,29.2,4.3,4.9,3.3,6.9,3.9,2.3,3.3,1,1,23.9,35.7,4.9,305
創業時期別,1981～1990年,9.5,27.1,5.7,5.7,5,7.3,6.9,4.2,4.6,1.1,1.5,23.3,33.2,7.3,262
創業時期別,1991～2000年,11.4,26.7,3.4,3.4,3.4,7.4,3.4,2.3,1.7,2.3,0.6,27.3,30.1,8.5,176
創業時期別,2001～2010年,15.7,28.3,0.8,2.4,4.7,9.4,10.2,3.9,0.8,1.6,1.6,19.7,34.6,1.6,127
創業時期別,2011年以降,13.1,32.1,4.8,1.2,4.8,8.3,7.1,1.2,2.4,0,1.2,25,26.2,6,84
経営者年齢別,50歳未満,15.3,33.7,6.8,5.2,6.8,7.6,6.8,3.2,6,2.4,1.2,26.1,24.5,7.2,249
経営者年齢別,50歳代,9.7,32.4,6,5.2,3.9,8.9,5.8,2.9,3.7,1.9,1.4,24.8,28.1,6.2,484
経営者年齢別,60歳代,11.6,30.4,3,3.6,3.6,6,3.9,3.9,1.3,0.9,0.6,24.8,33.4,4.9,467
経営者年齢別,70歳以上,11.5,21.4,3.8,3.4,2.5,5,4.2,3.5,1.8,2,2,24.9,38.2,7.9,706
