,,他企業との共同受注・販路開拓・販売(%),他企業との大型機械や設備の共同購入・利用(%),他企業との共同研究・開発(%),大学や研究機関との共同研究・開発(%),交流会を通じたネットワーク構築(%),事業協同組合等への加入(%),その他(%),特になし(%),無回答(%),n(件)
,今回調査（全体）,7.3,0.8,5.1,6.4,4.2,0.6,0.3,79.2,3.7,2527
業種別,食品・飲料,7.6,2.5,6.3,7.6,3.8,1.3,0,73.4,3.8,79
業種別,衣料・身の回り品,6.2,0,4.9,4,2.7,0,0.4,77.4,8.4,226
業種別,住宅・建物,5.7,0.8,1.6,4.1,3.3,0,0.8,82.8,4.9,122
業種別,紙・印刷,7.6,0.4,2.8,2.2,4.2,0.6,0,84.3,2,502
業種別,材料・部品[非金属] ,7.7,2.3,6.5,8.1,3.5,0.4,0,78.5,2.7,260
業種別,材料・部品[金属] ,5.4,0.6,3.9,4.2,4.1,0.9,0.4,82.5,4.1,542
業種別,一般・精密機械,10.1,1.4,11.1,13.9,6.4,0.5,0.7,70.6,2.1,425
業種別,電機・電子,10.2,0,5.3,9.6,4.3,1.1,0,77.5,3.2,187
業種別,その他,5.3,0,1.2,4.7,4.1,1.2,0,81.2,6.5,170
従業者規模別,1～3人,3.5,0.3,2.3,2.4,1.6,0.3,0.4,87.4,4.1,1155
従業者規模別,4～9人,8.7,0.7,4.7,5,4.6,1,0,78.8,4.3,675
従業者規模別,10～20人,11.6,2.1,9.9,10.6,6.2,1.4,0.3,69.5,3.4,292
従業者規模別,21～50人,14.8,0.9,7.9,16.2,10.6,0.5,0,62.5,1.9,216
従業者規模別,51～99人,9.1,2.6,10.4,18.2,11.7,1.3,1.3,62.3,1.3,77
従業者規模別,100人以上,12.5,1.8,19.6,25,5.4,0,0,57.1,0,56
創業時期別,1950年以前,7.8,0.9,8.1,11.8,4.7,1.2,0.6,72,4,322
創業時期別,1951～1960年,7.2,0.9,5.2,6.7,5.2,0.3,0,77.7,3.8,345
創業時期別,1961～1970年,7.8,0.9,4.1,4.8,3.9,0.4,0.2,82.1,2.8,459
創業時期別,1971～1980年,5.2,1,5.7,4.7,3.5,0.7,0.2,82.7,4,404
創業時期別,1981～1990年,8,0.6,3.6,5,3.8,0.3,0.3,81.4,3.6,338
創業時期別,1991～2000年,5,0.5,2.7,5,4.1,0.9,0,81.9,5.4,221
創業時期別,2001～2010年,10.6,0.6,8.8,7.6,7.1,0.6,0,72.9,3.5,170
創業時期別,2011年以降,13,1.7,5.2,12.2,4.3,0.9,0.9,67.8,2.6,115
経営者年齢別,50歳未満,14.3,1.5,8.6,11.6,8.3,0.6,0,68.2,1.5,336
経営者年齢別,50歳代,10.5,1,7,7.9,6.3,0.5,0.3,76.3,1.7,630
経営者年齢別,60歳代,5.6,0.6,4.3,6.1,3.1,0.3,0.5,81,3.5,622
経営者年齢別,70歳以上,3.7,0.4,2.9,3.4,2.1,0.9,0.2,84.1,6,916
