[区部],,
業種,従業者数(人),構成比(%)
印刷・同関連業,36325,27.0
金属製品,13121,9.8
食料品,12319,9.2
生産用機械,9618,7.1
化学工業,8702,6.5
ほか19業種,54468,40.5
従業者数_合計(人),134553,
,,
[多摩地域],,
業種,従業者数(人),構成比(%)
電気機械,18422,16.6
輸送用機械,17797,16.0
食料品,16945,15.3
電子・デバイス,8439,7.6
生産用機械,7136,6.4
ほか19業種,42287,38.1
従業者数_合計(人),111026,
