,,主として自社が決める(%) ,主として取引先(顧客)が決める(%) ,交渉次第(%) ,無回答(%) ,n(件) 
,今回調査（全体）,40.5,21.4,36.4,1.7,2527
,前回調査,38,23.6,35.3,3.1,2552
業種別,食品・飲料,41.8,15.2,41.8,1.3,79
業種別,衣料・身の回り品,32.3,31.9,33.2,2.7,226
業種別,住宅・建物,54.9,18.9,26.2,0,122
業種別,紙・印刷,38.8,23.9,35.9,1.4,502
業種別,材料・部品[非金属] ,36.5,21.5,38.8,3.1,260
業種別,材料・部品[金属] ,38.7,20.5,40,0.7,542
業種別,一般・精密機械,44.2,20.9,33.2,1.6,425
業種別,電機・電子,41.2,18.2,39,1.6,187
業種別,その他,48.2,11.8,35.9,4.1,170
従業者規模別,1～3人,44,22.9,31.5,1.6,1155
従業者規模別,4～9人,43.1,18.2,37,1.6,675
従業者規模別,10～20人,36,19.9,43.5,0.7,292
従業者規模別,21～50人,35.2,21.3,42.1,1.4,216
従業者規模別,51～99人,20.8,26,51.9,1.3,77
従業者規模別,100人以上,16.1,23.2,57.1,3.6,56
年間売上高第1位の取引先(顧客)の属性別,大手メーカー,33.9,21.2,44.1,0.9,463
年間売上高第1位の取引先(顧客)の属性別,中堅メーカー,37.8,22.6,38.3,1.2,407
年間売上高第1位の取引先(顧客)の属性別,中小・零細メーカー,39.8,27,32.1,1.1,748
年間売上高第1位の取引先(顧客)の属性別,卸売業・代理店・商社,43,12.6,42.2,2.2,358
年間売上高第1位の取引先(顧客)の属性別,小売業,47.9,14.4,34.7,3,167
年間売上高第1位の取引先(顧客)の属性別,サービス業,56.9,12.3,29.2,1.5,65
年間売上高第1位の取引先(顧客)の属性別,官公庁・大学等,44.2,34.6,19.2,1.9,52
年間売上高第1位の取引先(顧客)の属性別,その他,47.5,18.3,30.7,3.5,202
年間売上高第1位の取引先(顧客)への売上依存度別,10％未満,54.2,11.8,31,3,203
年間売上高第1位の取引先(顧客)への売上依存度別,10～20％未満,46.3,16.2,36.3,1.2,408
年間売上高第1位の取引先(顧客)への売上依存度別,20～40％未満,43.2,18,37,1.8,673
年間売上高第1位の取引先(顧客)への売上依存度別,40～60％未満,39.7,21.1,38.3,0.9,436
年間売上高第1位の取引先(顧客)への売上依存度別,60～80％未満,35.4,24.2,39.4,1,302
年間売上高第1位の取引先(顧客)への売上依存度別,80％以上,31.1,35.1,32.2,1.6,444
