年度,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
愛知(人),792304,794670,797321,816755,841662,876351,857315,801450,790778,771221,769395,789092,795496,824749,828077,846075,863149,848565
大阪(人),561771,544686,530407,526216,517935,532460,526790,485022,477484,463080,455018,450409,443634,441256,436048,443034,447404,444362
静岡(人),437004,433906,433061,441562,446948,457695,446577,411551,409030,396465,393687,388877,386924,396406,398450,405154,413309,413000
東京(人),425625,414015,392609,382831,367209,371206,362825,324995,310022,321859,292976,279770,269815,269197,252315,251310,246895,245851
