"key","管理者番号","指定番号","樹種","延長","指定日","生垣所在地","経度","緯度","分類"
"","422","84","混ぜ垣","38","2001/06/27 0:00:00","上鷺宮5-19-14","139.625936341605","35.7313700591841","保護指定生け垣"
"","351","23","ﾏｻｷ","13","1991/03/07 0:00:00","鷺宮6-17-5","139.627173068623","35.724404777233","保護指定生け垣"
"","402","76","ﾋｲﾗｷﾞﾓｸｾｲ","12","2000/05/29 0:00:00","上鷺宮5-8-38","139.627590196589","35.7282474646521","保護指定生け垣"
"","503","107","ｼﾗｶｼ","10","2012/01/16 0:00:00","鷺宮6-17-12","139.627670277967","35.7244653670423","保護指定生け垣"
"","375","51","ｶﾅﾒﾓﾁ","15","1994/01/20 0:00:00","鷺宮6-7-11","139.627719022043","35.7243021593113","保護指定生け垣"
"","338","4","ｶｲﾂﾞｶｲﾌﾞｷ","12","1990/06/22 0:00:00","上鷺宮5-21-11","139.627961333965","35.729262211535","保護指定生け垣"
"","373","49","ﾍﾞﾆｶﾅﾒﾓﾁ","17","1994/01/10 0:00:00","上鷺宮5-21-28","139.62842940975","35.7303847843506","保護指定生け垣"
"","362","36","ｶｲﾂﾞｶｲﾌﾞｷ","15","1991/06/16 0:00:00","上鷺宮5-21-8","139.62886304227","35.7296220909582","保護指定生け垣"
"","448","90","ｲﾇﾂｹﾞ","31","2003/10/15 0:00:00","鷺宮6-28-27","139.628751105947","35.7271981708111","保護指定生け垣"
"","419","50","ｻｻﾞﾝｶ","18","1994/01/20 0:00:00","上鷺宮4-1-14","139.629950469409","35.7320468023888","保護指定生け垣"
"","550","133","ﾏｷ","19","2021/08/20 0:00:00","上鷺宮5-24-8","139.630707168924","35.7302729391642","保護指定生け垣"
"","342","13","ｶﾝﾂﾊﾞｷ","18","1991/02/18 0:00:00","白鷺2-25-9","139.632455360188","35.7194303940927","保護指定生け垣"
"","376","52","混ぜ垣","23","1994/01/21 0:00:00","白鷺2-22-1","139.632700615813","35.7195750115727","保護指定生け垣"
"","552","134","ｷﾝﾓｸｾｲ","26","2021/12/27 0:00:00","鷺宮5-21-1","139.632715307884","35.7258525741955","保護指定生け垣"
"","218","12","ｻﾜﾗ･ﾏｻｷ","31","1991/01/31 0:00:00","鷺宮4-21-5","139.632923832185","35.7238315422841","保護指定生け垣"
"","314","44","ｲﾇﾂｹﾞ","160","1992/11/18 0:00:00","白鷺2-13","139.63306265082","35.7173296432341","保護指定生け垣"
"","485","98","ｲﾁｲ","17","2009/02/06 0:00:00","白鷺2-28-4","139.633513712199","35.7190002236489","保護指定生け垣"
"","521","116","ﾚｯﾄﾞﾛﾋﾞﾝ","18","2013/11/01 0:00:00","白鷺2-12-2","139.633758064837","35.7179112123207","保護指定生け垣"
"","475","93","ﾍﾞﾆｶﾅﾒﾓﾁ","98","2008/03/05 0:00:00","白鷺3-3-4","139.633361060213","35.7217112263947","保護指定生け垣"
"","380","56","ﾂｹﾞ","53","1994/02/17 0:00:00","上鷺宮3-5-1","139.634100353048","35.7321194240196","保護指定生け垣"
"","506","108","ｶﾅﾒﾓﾁ","30","2012/03/05 0:00:00","鷺宮4-28-5","139.634409576083","35.7254029560581","保護指定生け垣"
"","540","127","ﾄﾞｳﾀﾞﾝﾂﾂｼﾞ","26","2018/12/26 0:00:00","白鷺2-2-11","139.634451211379","35.7169324012708","保護指定生け垣"
"","523","118","ﾍﾞﾆｶﾅﾒﾓﾁ","17","2014/05/02 0:00:00","白鷺2-35-6","139.635770958825","35.7195607123252","保護指定生け垣"
"","344","15","ｻﾜﾗ","14","1991/02/19 0:00:00","白鷺2-42-2","139.635767086698","35.7202360541717","保護指定生け垣"
"","252","91","混ぜ垣","35","2003/10/15 0:00:00","白鷺1-11","139.637647553643","35.7176392925625","保護指定生け垣"
"","524","119","サザンカ","15","2014/12/11 0:00:00","若宮3-58-10","139.640105078217","35.7222198007244","保護指定生け垣"
"","439","86","ｶﾅﾒﾓﾁ･ﾋｲﾗｷﾞﾓｸｾｲ","10","2002/05/23 0:00:00","鷺宮3-38-9","139.640387725858","35.7253218494368","保護指定生け垣"
"","355","29","ｶｲﾂﾞｶｲﾌﾞｷ","23","1991/03/13 0:00:00","若宮2-59-16","139.640384825636","35.717903920575","保護指定生け垣"
"","538","125","ｲﾇﾂｹﾞ","17","2018/06/11 0:00:00","大和町4-42-16","139.641986709759","35.7154839647344","保護指定生け垣"
"","370","46","混ぜ垣","10","1993/05/20 0:00:00","若宮3-35-12","139.644031393005","35.7209740957281","保護指定生け垣"
"","394","73","混ぜ垣","11","1999/10/27 0:00:00","大和町3-37-1","139.645078084315","35.7121896183529","保護指定生け垣"
"","368","43","ｻｻﾞﾝｶ","19","1992/08/05 0:00:00","若宮1-4-1","139.647850846105","35.7164582039252","保護指定生け垣"
"","393","72","ｶﾅﾒﾓﾁ","14","1999/10/05 0:00:00","鷺宮1-4-4","139.648027965041","35.7221791349311","保護指定生け垣"
"","479","96","ｻｻﾞﾝｶ","23","2008/07/03 0:00:00","大和町3-7-11","139.648203542542","35.7111586292976","保護指定生け垣"
"","493","102","ﾏｻｷ","10","2010/03/11 0:00:00","鷺宮2-9-2","139.648255232189","35.7245437413722","保護指定生け垣"
"","529","121","ｼﾙﾊﾞｰｽﾀｰ","23","2016/08/29 0:00:00","大和町3-11-8","139.648536067785","35.7129343870035","保護指定生け垣"
"","411","28","混ぜ垣","13","1991/03/12 0:00:00","若宮1-8-3","139.649071209247","35.7164481000646","保護指定生け垣"
"","520","115","ﾋｲﾗｷﾞﾓｸｾｲ","24","2013/09/02 0:00:00","野方6-52-5","139.649851220253","35.723527416797","保護指定生け垣"
"","398","75","ｶﾅﾒﾓﾁ","10","2000/05/19 0:00:00","若宮1-28-5","139.650283690751","35.7193536205964","保護指定生け垣"
"","389","68","ﾚｯﾄﾞﾛﾋﾞﾝ","12","1998/01/27 0:00:00","若宮1-26-9","139.650529161953","35.7185799103065","保護指定生け垣"
"","434","27","混ぜ垣","17","1991/03/12 0:00:00","丸山1-14-10","139.654915722252","35.7239842103082","保護指定生け垣"
"","539","126","ｻｻﾞﾝｶ等","35","2018/11/19 0:00:00","丸山1-21-2","139.656141134264","35.7253693356231","保護指定生け垣"
"","335","1","ｲﾇﾂｹﾞ","13","1990/04/12 0:00:00","沼袋4-16-1","139.65842089207","35.7212413071367","保護指定生け垣"
"","240","61","ｶﾅﾒﾓﾁ","16","1995/01/26 0:00:00","江古田4-36-11","139.658814536058","35.723747833533","保護指定生け垣"
"","271","6","ｶｲﾂﾞｶｲﾌﾞｷ","34","1990/08/29 0:00:00","江古田4-39-17","139.658708474163","35.7240135212384","保護指定生け垣"
"","123","71","ﾈｽﾞﾐﾓﾁ","13","1999/06/15 0:00:00","沼袋4-22-17","139.660159348197","35.7223521281687","保護指定生け垣"
"","462","92","ｳﾊﾞﾒｶﾞｼ","61","2006/01/05 0:00:00","本町6-43-1","139.660673865999","35.6962494643036","保護指定生け垣"
"","547","131","ｻﾜﾗ","32","2020/03/30 0:00:00","弥生町6-6-17","139.660884602177","35.6863605160158","保護指定生け垣"
"","476","94","ﾄｷﾜﾏﾝｻｸ","10","2008/03/18 0:00:00","沼袋4-6-17","139.661013823097","35.7201519457323","保護指定生け垣"
"","395","74","混ぜ垣","14","1999/11/30 0:00:00","沼袋4-3-13","139.660962017708","35.7215543424791","保護指定生け垣"
"","427","85","混ぜ垣","112","2002/03/12 0:00:00","沼袋4-25-3","139.661170284304","35.7218300422668","保護指定生け垣"
"","537","124","ｼﾗｶｼ","12","2018/05/16 0:00:00","沼袋4-25-2","139.661580494222","35.7216025616239","保護指定生け垣"
"","409","81","ﾚｯﾄﾞﾛﾋﾞﾝ","91","2001/03/30 0:00:00","南台5-20-5","139.662548998406","35.6816859670141","保護指定生け垣"
"","185","117","混ぜ垣","24","2014/03/31 0:00:00","新井2-26-10","139.663973355976","35.7113072546544","保護指定生け垣"
