"key","key_1","管理者番号","指定番号","樹種","面積","指定日","樹林所在地","経度","緯度","分類"
"","","314","44","ｻｸﾗ","2130","1989/07/03 0:00:00","白鷺2-13","139.632887010973","35.7174130601836","保護指定樹林"
"","","438","9","ｹﾔｷ","3250","1981/09/07 0:00:00","白鷺1-8-10","139.636565643951","35.7173542617891","保護指定樹林"
"","","154","20","ｹﾔｷ","3327","1982/11/20 0:00:00","白鷺1-9-21","139.636697968982","35.7186435376993","保護指定樹林"
"","","415","7","ｹﾔｷ","1128","1982/01/09 0:00:00","白鷺1-10-11","139.637265975662","35.718733834806","保護指定樹林"
"","","301","29","ｶｼ･ｹﾔｷ","2500","1983/07/08 0:00:00","白鷺1-31","139.638267018133","35.7215029457094","保護指定樹林"
"","","281","31","ｸｽﾉｷ･ｿﾛ","8000","1983/07/25 0:00:00","白鷺1-31-5","139.638971062588","35.7213570748344","保護指定樹林"
"","","304","34","ｲﾁｮｳ･ｶｼ","9900","1984/02/09 0:00:00","大和町4-37-15","139.642402153917","35.7131342656288","保護指定樹林"
"","","287","11","ｲﾁｮｳ･ｼｲ","2126","1982/06/16 0:00:00","大和町2-30-3","139.650630256574","35.7140228873794","保護指定樹林"
"","","426","48","ｸｽﾉｷ･ｼｲ･ﾏﾃﾊﾞｼｲ","733","1993/04/15 0:00:00","野方4-46-14","139.654304618725","35.7224495012354","保護指定樹林"
"","","297","24","ｸｽﾉ･ｿﾛ","1500","1983/04/18 0:00:00","南台3-43-1","139.663739343307","35.6831143788167","保護指定樹林"
"","","293","17","ｸｽﾉｷ･ｼｲ","3311","1982/08/16 0:00:00","沼袋2-28-20","139.664376471679","35.7221535498863","保護指定樹林"
"","","291","15","ｻｸﾗ･ｶｼ","2473","1982/08/16 0:00:00","沼袋2-28-33","139.66486617186","35.7222485816133","保護指定樹林"
"","","292","16","ｲﾁｮｳ･ｹﾔｷ","2250","1982/08/16 0:00:00","沼袋2-28-30","139.665338902751","35.7219466843859","保護指定樹林"
"","","289","13","ｹﾔｷ","1980","1982/07/14 0:00:00","南台3-34-12","139.66571933864","35.6843446636924","保護指定樹林"
"","","302","30","ｲﾁｮｳ･ｼｲ","3000","1983/07/08 0:00:00","江古田3-13-6","139.666538264024","35.7271669235775","保護指定樹林"
"","","305","35","ｶｼ･ﾏﾂ","4438","1984/03/31 0:00:00","沼袋1-31-4","139.666672652682","35.7194214887961","保護指定樹林"
"","","306","36","ｲﾁｮｳ･ｹﾔｷ","875","1984/03/31 0:00:00","中央4-13","139.669690410559","35.6998237798","保護指定樹林"
"","","299","26","ｲﾁｮｳ･ｹﾔｷ","1810","1983/06/24 0:00:00","弥生町4-27-30","139.670231970356","35.6868347260187","保護指定樹林"
"","","300","27","ｲﾁｮｳ･ｼｲ","935","1983/06/24 0:00:00","松が丘2-27-1","139.671282474094","35.7225477890168","保護指定樹林"
"","","325","18","ｲﾁｮｳ･ｲﾇｼﾃﾞ","1664","1982/09/02 0:00:00","中野5-8-1","139.671849753156","35.7071522903304","保護指定樹林"
"","","303","33","ｲﾁｮｳ･ｸﾇｷﾞ","600","1983/08/15 0:00:00","松が丘1-30-1","139.672882953957","35.7198852129689","保護指定樹林"
"","","298","25","ｲﾁｮｳ･ｹﾔｷ","1700","1983/06/06 0:00:00","本町4-10-3","139.673413267248","35.6942461875765","保護指定樹林"
"","","431","40","ｸｽﾉｷ･ｹﾔｷ","3960","1985/07/26 0:00:00","上高田3-26-17","139.674176543868","35.714006461469","保護指定樹林"
"","","284","8","ｹﾔｷ","1935","1981/08/10 0:00:00","江古田1-20-15","139.675183205866","35.7267093454818","保護指定樹林"
"","","296","23","ｲﾁｮｳ･ﾂｹﾞ","4950","1983/03/30 0:00:00","上高田5-21-5","139.676086297356","35.7174757234184","保護指定樹林"
"","","307","37","ｹﾔｷ･ｼｲ","1875","1984/03/31 0:00:00","上高田4-42-1","139.676331967958","35.7148395493411","保護指定樹林"
"","","318","49","ｹﾔｷ･ｻｸﾗ","1214","1996/03/21 0:00:00","上高田4-14-3","139.678723383894","35.7125809312334","保護指定樹林"
"","","282","3","ｲﾁｮｳ","1200","1980/11/21 0:00:00","本町2-26-6","139.681822304334","35.6942080707049","保護指定樹林"
"","","294","28","ｲﾁｮｳ･ｼｲ","6600","1983/07/05 0:00:00","東中野1-11-1","139.682952270475","35.7024947877979","保護指定樹林"
