"key","管理者番号","樹木","指定番号","樹種","指定日","樹木等所在","経度","緯度","分類"
"","422","●","505","ｻｸﾗ","2005/07/05 0:00:00","上鷺宮5-19-14","139.625812555228","35.7313236910007","保護指定樹木"
"","551","〇","671","ケヤキ","2022/11/25 0:00:00","中野区上鷺宮5-29-19","139.626598293215","35.7326017688971","保護指定樹木"
"","551","〇","670","ケヤキ","2022/11/25 0:00:00","中野区上鷺宮5-29-19","139.626609196086","35.7326603763579","保護指定樹木"
"","551","〇","674","ヒマラヤスギ","2022/11/25 0:00:00","中野区上鷺宮5-29-19","139.626838913758","35.7330663851654","保護指定樹木"
"","551","〇","673","ヒマラヤスギ","2022/11/25 0:00:00","中野区上鷺宮5-29-19","139.626948001252","35.7330969934609","保護指定樹木"
"","551","〇","672","ヒマラヤスギ","2022/11/25 0:00:00","中野区上鷺宮5-29-19","139.627017041357","35.7331173926157","保護指定樹木"
"","551","?","669","ケヤキ","2022/11/25 0:00:00","中野区上鷺宮5-29-19","139.627075688173","35.7328820116179","保護指定樹木"
"","456","●","502","ｹﾔｷ","2004/11/01 0:00:00","上鷺宮4-13-15","139.627320624658","35.7336976465195","保護指定樹木"
"","456","○","503","ｹﾔｷ","2004/11/01 0:00:00","上鷺宮4-13-15","139.627492180079","35.7337799471653","保護指定樹木"
"","163","○","291","ｼｲ","1984/03/15 0:00:00","鷺宮6-28-37","139.629469581948","35.7269720123814","保護指定樹木"
"","163","●","290","ｼｲ","1984/03/15 0:00:00","鷺宮6-28-37","139.629563163572","35.7269757481791","保護指定樹木"
"","550","〇","668","サクラ","2023/06/23 0:00:00","上鷺宮5-24-8","139.630713885419","35.7302968290439","保護指定樹木"
"","460","●","506","ｶｷﾉｷ","2005/07/25 0:00:00","鷺宮5-24-6","139.63102365383","35.7269272070761","保護指定樹木"
"","487","●","548","ｹﾔｷ","2009/03/17 0:00:00","上鷺宮3-8-8","139.632177857372","35.7323453170538","保護指定樹木"
"","551","○","666","ﾒﾀｾｺｲｱ","2021/11/19 0:00:00","白鷺2-13-14ｻﾝﾊｲﾂ白鷺","139.632806036055","35.7180464748789","保護指定樹木"
"","551","○","665","ﾒﾀｾｺｲｱ","2021/11/19 0:00:00","白鷺2-13-14ｻﾝﾊｲﾂ白鷺","139.632848159145","35.7180417753292","保護指定樹木"
"","551","○","664","ﾒﾀｾｺｲｱ","2021/11/19 0:00:00","白鷺2-13-14ｻﾝﾊｲﾂ白鷺","139.6328797425","35.7180418279399","保護指定樹木"
"","256","○","446","ﾎﾟﾌﾟﾗ","1997/03/03 0:00:00","上鷺宮3-13-1","139.632853603067","35.7341689914644","保護指定樹木"
"","551","●","663","ﾒﾀｾｺｲｱ","2021/11/19 0:00:00","白鷺2-13-14ｻﾝﾊｲﾂ白鷺","139.632908991125","35.7180399687622","保護指定樹木"
"","256","●","440","ｻｸﾗ","1997/03/03 0:00:00","上鷺宮3-13-1","139.633194642178","35.7343665066035","保護指定樹木"
"","256","○","442","ｻｸﾗ","1997/03/03 0:00:00","上鷺宮3-13-1","139.633225719616","35.7342206049416","保護指定樹木"
"","256","○","443","ｻｸﾗ","1997/03/03 0:00:00","上鷺宮3-13-1","139.633237227249","35.734180558453","保護指定樹木"
"","256","○","444","ｻｸﾗ","1997/03/03 0:00:00","上鷺宮3-13-1","139.633241972235","35.7341545713836","保護指定樹木"
"","256","○","445","ｻｸﾗ","1997/03/03 0:00:00","上鷺宮3-13-1","139.633247021646","35.7341238151029","保護指定樹木"
"","485","●","541","ｶｷﾉｷ","2009/02/06 0:00:00","白鷺2-28-4","139.633567001778","35.7190135567969","保護指定樹木"
"","165","●","295","ｻｸﾗ","1984/03/15 0:00:00","鷺宮4-31-7","139.635232336011","35.7246433993298","保護指定樹木"
"","103","●","161","ｶｷ","1981/08/28 0:00:00","白鷺2-36-2","139.635308439506","35.7198206652046","保護指定樹木"
"","103","○","162","ｶｷ","1981/08/28 0:00:00","白鷺2-36-2","139.635347013929","35.7198321760223","保護指定樹木"
"","183","●","326","ｼｲ","1987/03/20 0:00:00","白鷺2-41-2","139.635867460411","35.7207633302759","保護指定樹木"
"","504","●","570","ｼｲ","2012/01/24 0:00:00","上鷺宮1-9-11","139.635971226181","35.7286777588628","保護指定樹木"
"","465","●","518","ｻｸﾗ","2006/05/17 0:00:00","白鷺2-41-6","139.636039034217","35.721062200123","保護指定樹木"
"","463","●","508","ｻｸﾗ","2006/02/10 0:00:00","白鷺2-40-2","139.636102276853","35.7212542187176","保護指定樹木"
"","516","○","595","ﾋﾏﾗﾔｽｷﾞ","2013/03/27 0:00:00","上鷺宮2-2-16","139.636584306695","35.7269970499925","保護指定樹木"
"","516","●","594","ﾋﾏﾗﾔｽｷﾞ","2013/03/27 0:00:00","上鷺宮2-2-16","139.636652556112","35.7270355248991","保護指定樹木"
"","432","○","579","ｹﾔｷ","2013/03/05 0:00:00","白鷺1-10-8","139.637062694438","35.7183240545903","保護指定樹木"
"","432","●","578","ｹﾔｷ","2013/03/05 0:00:00","白鷺1-10-8","139.63706763277","35.7184559465935","保護指定樹木"
"","541","●","637","ｳﾒ","2019/01/15 0:00:00","鷺宮4-38-4","139.637053613486","35.72495820456","保護指定樹木"
"","415","●","383","ｲﾁｮｳ","1991/06/18 0:00:00","白鷺1-7-15","139.637330205053","35.7175665765821","保護指定樹木"
"","252","○","431","ｹﾔｷ","1996/08/07 0:00:00","白鷺1-11","139.637431722978","35.7178584153622","保護指定樹木"
"","252","○","615","ｹﾔｷ","2016/03/09 0:00:00","白鷺1-11","139.637621236723","35.7178530000297","保護指定樹木"
"","469","●","266","ｶｼ","1983/07/27 0:00:00","白鷺1-29-7","139.637703696016","35.7212063731533","保護指定樹木"
"","252","●","430","ｹﾔｷ","1996/08/07 0:00:00","白鷺1-11","139.637840197007","35.7182435198798","保護指定樹木"
"","252","○","432","ｹﾔｷ","1996/08/07 0:00:00","白鷺1-11","139.637850468402","35.7178695896823","保護指定樹木"
"","252","○","433","ｻｸﾗ","1996/08/07 0:00:00","白鷺1-11","139.637929941143","35.7177114925944","保護指定樹木"
"","159","●","279","ｲﾁｮｳ","1983/11/17 0:00:00","鷺宮3-37-22","139.63989549509","35.725198969265","保護指定樹木"
"","159","○","280","ｼｲ","2016/03/03 0:00:00","鷺宮3-37-22","139.640205056652","35.7250243560745","保護指定樹木"
"","159","○","614","ｼｲ","2016/03/03 0:00:00","鷺宮3-37-22","139.640239211468","35.7250906564846","保護指定樹木"
"","486","○","545","ｼﾗｶｼ","2009/03/06 0:00:00","鷺宮3-27-14","139.640917090114","35.7239359474401","保護指定樹木"
"","486","●","544","ｼﾗｶｼ","2009/03/06 0:00:00","鷺宮3-27-14","139.640932951929","35.7239281271416","保護指定樹木"
"","535","●","633","ｻｸﾗ","2017/11/01 0:00:00","鷺宮3-38-1","139.641003204747","35.7247658853614","保護指定樹木"
"","421","●","493","ｻｸﾗ","2001/07/13 0:00:00","若宮3-29-2","139.64189006271","35.7208357700724","保護指定樹木"
"","3","●","4","ﾏﾂ","1979/11/26 0:00:00","若宮3-21-4","139.643059646659","35.7219283637642","保護指定樹木"
"","90","●","142","ﾋﾏﾗﾔｽｷﾞ","1981/07/29 0:00:00","大和町4-28-4","139.643833576923","35.7141363239696","保護指定樹木"
"","413","●","174","ｻｸﾗ","1982/02/05 0:00:00","若宮2-13-4","139.645100084107","35.7168182814762","保護指定樹木"
"","38","●","51","ﾁｼｬﾉｷ","1979/12/05 0:00:00","若宮2-14-3","139.645119482946","35.7162229240955","保護指定樹木"
"","407","●","491","ｹﾔｷ","2000/08/17 0:00:00","鷺宮2-8-8","139.64631379278","35.7252193024322","保護指定樹木"
"","519","●","597","ｽﾀﾞｼﾞｲ","2013/07/29 0:00:00","若宮1-58-11","139.647228334642","35.7213859851492","保護指定樹木"
"","519","○","598","ｽﾀﾞｼﾞｲ","2013/07/29 0:00:00","若宮1-58-11","139.647312580469","35.7213775298919","保護指定樹木"
"","225","●","389","ｻｸﾗ","1991/10/31 0:00:00","鷺宮2-9-6","139.647679361233","35.7246061981342","保護指定樹木"
"","225","○","390","ｻｸﾗ","1991/10/31 0:00:00","鷺宮2-9-6","139.647736118914","35.7245977001784","保護指定樹木"
"","510","●","572","ﾏﾂ","2012/05/30 0:00:00","大和町3-8-10","139.647982825049","35.711846233756","保護指定樹木"
"","53","●","71","ｸｽﾉｷ","1980/03/24 0:00:00","若宮1-6-13","139.648486085849","35.7170538894319","保護指定樹木"
"","411","●","67","ﾀｲｻﾝﾎﾞｸ","1979/12/05 0:00:00","若宮1-8-3","139.649029746932","35.7164589624303","保護指定樹木"
"","156","●","271","ｶｷ","1983/08/02 0:00:00","大和町3-9-2","139.649464941825","35.7115049275791","保護指定樹木"
"","533","●","631","ﾏﾂ","2017/08/02 0:00:00","野方6-26-9","139.651473547197","35.722216684135","保護指定樹木"
"","417","○","603","ｻｸﾗ","2014/01/27 0:00:00","野方6-6-2","139.65309792668","35.7203556419535","保護指定樹木"
"","417","○","602","ｻｸﾗ","2014/01/27 0:00:00","野方6-6-2","139.653099894321","35.7203909409034","保護指定樹木"
"","417","○","636","ｻｸﾗ","2019/01/04 0:00:00","野方6-6-2","139.653101019865","35.7204433459126","保護指定樹木"
"","417","○","532","ｻｸﾗ","2008/03/21 0:00:00","野方6-6-2","139.653102457796","35.7204271474118","保護指定樹木"
"","417","○","531","ｻｸﾗ","2008/03/21 0:00:00","野方6-6-2","139.653105007115","35.7204638781514","保護指定樹木"
"","417","○","530","ｻｸﾗ","2008/03/21 0:00:00","野方6-6-2","139.653110998138","35.7205306633441","保護指定樹木"
"","135","●","210","ﾓｯｺｸ","1982/12/14 0:00:00","野方6-11-3","139.653227310993","35.7216498955309","保護指定樹木"
"","417","○","601","ｼﾗｶｼ","2014/01/27 0:00:00","野方6-6-2","139.65328272572","35.7206339465647","保護指定樹木"
"","417","●","420","ｹﾔｷ","1995/12/07 0:00:00","野方6-6-2","139.653292244529","35.720692628484","保護指定樹木"
"","417","○","600","ｹﾔｷ","2014/01/27 0:00:00","野方6-6-2","139.653300887615","35.7207505936325","保護指定樹木"
"","417","○","533","ｽﾀﾞｼﾞｲ","2008/03/21 0:00:00","野方6-6-2","139.65348071785","35.7207623098764","保護指定樹木"
"","417","○","421","ｼｲ","1995/12/07 0:00:00","野方6-6-2","139.65354790407","35.720536325068","保護指定樹木"
