"登録No","ぱくぱくパートナーズ登録店名","業種","住所","マッチングレベル","経度","緯度","分類"
"1","中野満点食堂　ほか","食堂　ほか","中野四丁目8番1号","","139.663737226103","35.7068716920706","食品ロス削減協力店登録店舗一覧"
"2","中野洋食酒場カラフル","洋食レストラン　ほか","中野五丁目55番17号","","139.666193149765","35.7085699118967","食品ロス削減協力店登録店舗一覧"
"3","奏食堂","居酒屋　ほか","沼袋四丁目31番12号","","139.662377078374","35.7236195607846","食品ロス削減協力店登録店舗一覧"
"4","マ・ヤン","シャンソニエ","東中野四丁目1番6号","","139.685991960725","35.7067211681327","食品ロス削減協力店登録店舗一覧"
"5","喜美子","スナック","東中野四丁目2番27号","","139.685737515996","35.7065651818787","食品ロス削減協力店登録店舗一覧"
"6","ヨークフーズ中野店　ほか","スーパーマーケット　ほか","中野四丁目3番1号","","139.664638801989","35.7088122515219","食品ロス削減協力店登録店舗一覧"
"7","nina's deli　ほか","小売店（お弁当）　ほか","沼袋四丁目30番18号","","139.66261876989","35.7230195218123","食品ロス削減協力店登録店舗一覧"
"9","デニーズ野方店","ファミリーレストラン","鷺宮一丁目9番11号","","139.648897491537","35.7237442628556","食品ロス削減協力店登録店舗一覧"
"10","健康食堂 新中野店","小売店（お弁当）","本町五丁目48番11号","","139.668012423103","35.6939702037491","食品ロス削減協力店登録店舗一覧"
"11","n.A WINE BISTRO AND BAR","洋食レストラン　ほか","上高田二丁目40番5号","","139.670321596593","35.7101246165535","食品ロス削減協力店登録店舗一覧"
"12","奄美ふくらしゃ","郷土料理屋　ほか","新井五丁目5番15号","","139.668377993304","35.7158538990491","食品ロス削減協力店登録店舗一覧"
"13","スナック ガーネット","スナック","中野五丁目50番10号","","139.666721021082","35.70955739983","食品ロス削減協力店登録店舗一覧"
"14","大石製麺店","小売店（麺類）","弥生町三丁目24番15号","","139.673038375954","35.6878173966607","食品ロス削減協力店登録店舗一覧"
"15","海鮮・かき・沖縄料理 わ","居酒屋","東中野五丁目17番6号","","139.687935643722","35.7092941454823","食品ロス削減協力店登録店舗一覧"
"16","アジアン酒場ベニハナ","アジア・多国籍料理店","中央四丁目6番10号","","139.667680077959","35.6986767902968","食品ロス削減協力店登録店舗一覧"
"17","大政小政","居酒屋","東中野四丁目2番25号","","139.68589342132","35.7068211758804","食品ロス削減協力店登録店舗一覧"
"18","ゆずのたね　ほか","居酒屋　ほか","中央三丁目34番1号","","139.671366332936","35.697885565751","食品ロス削減協力店登録店舗一覧"
"19","cafe てぃ～えむ","喫茶店","南台三丁目14番8号","","139.667470261719","35.6833427019121","食品ロス削減協力店登録店舗一覧"
"20","T-Label","居酒屋","弥生町三丁目5番16号","","139.675762569179","35.6885825316637","食品ロス削減協力店登録店舗一覧"
"21","南印度ダイニング","南インド料理レストラン","新井一丁目23番23号","","139.667265764146","35.7114783803366","食品ロス削減協力店登録店舗一覧"
"22","ダバカ・モモ・ハウス","インド・ネパール料理店　ほか","野方五丁目30番5号","","139.651814204164","35.7192511592607","食品ロス削減協力店登録店舗一覧"
"24","中野坂上 縁","居酒屋","中央一丁目35番6号","","139.684805568607","35.6968657939083","食品ロス削減協力店登録店舗一覧"
"25","サンフルール","フルーツパーラー","鷺宮三丁目1番16号","","139.644064446694","35.7227457224223","食品ロス削減協力店登録店舗一覧"
"26","居酒屋 もんし","居酒屋","中央四丁目1番8号","","139.670186972226","35.6980457902659","食品ロス削減協力店登録店舗一覧"
"28","佐藤精肉店","小売店（肉類）","新井一丁目15番9号","","139.667128528649","35.7107697871793","食品ロス削減協力店登録店舗一覧"
"29","鮨、中乃見家","寿司屋","沼袋四丁目1番1号","","139.662594144881","35.7210851691889","食品ロス削減協力店登録店舗一覧"
"30","志喜千庵","蕎麦屋","中央四丁目4番6号","","139.668198783676","35.6976486259186","食品ロス削減協力店登録店舗一覧"
"31","レストラン ピアノピアノ","欧風レストラン","若宮三丁目36番11号","","139.644539674132","35.7213681703128","食品ロス削減協力店登録店舗一覧"
"32","焼鳥なべちゃん","居酒屋　ほか","本町三丁目12番10号","","139.674661207046","35.6940857988364","食品ロス削減協力店登録店舗一覧"
