"年[西暦]","木造[件]","鉄骨鉄筋コンクリート造[件]","鉄筋コンクリート造[件]","鉄骨造[件]","コンクリートブロック[件]","その他[件]","合計[件]"
"2016","3","5","12","27","0","1","48"
"2017","3","2","15","22","0","1","43"
"2018","2","1","9","43","0","0","55"
"2019","5","2","8","31","1","2","49"
"2020","4","1","9","21","0","1","36"

"令和3年度港区行政資料集　建築物確認申請件数","Ver202103",,,,,,
