"選挙名称","時現在","合計[人]","開票率[%]","残票[票]"
"平成28年7月31日執行　東京都知事選挙","21:45","18000","16.25","92738"
"平成28年7月31日執行　東京都知事選挙","22:30","65000","58.70","45738"
"平成28年7月31日執行　東京都知事選挙","23:45","109653","100","0"

"平成28年7月31日執行　東京都知事選挙開票推移","Ver201608",,,
