区分,全体(n=259)／割合(%),男性(n=133)／割合(%),女性(n=126)／割合(%)
花壇を作り、世話をする,44.8,33.8,56.3
植樹し、育てる,43.2,42.9,43.7
どんな公園にするかを話し合い、全体の計画を作る,41.7,55.6,27
公園内を美化・清掃する,36.7,32.3,41.3
雑木林の手入れをする,30.5,36.1,24.6
公園ならではのイベント等を企画運営する,30.1,33.8,26.2
庭園の歴史や見所について案内する,22.8,19.5,62.2
公園内で見られる動植物の解説を行う,15.4,19.5,11.1
,2.3,2.3,2.4
