階数,新築棟数計（棟）,新築棟数計／階数別構成比(%),新築棟数計／構造比(%),木造（棟）,木造／階数別構成比(%),木造／構造比(%),非木造（棟）,非木造／階数別構成比(%),非木造／構造比(%)
１、２階,16684,53.6,-,13345,63.1,-,3339,33.4,-
３階以上,14467,46.4,-,7811,36.9,-,6656,66.6,-
計,31151,100,100,21156,100,68,9995,100,32
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
