区分,配置標準例
街区公園確保区域(仮称),250ｍ圏域に覆われない区域
近隣公園確保区域(仮称),500ｍ圏域に覆われない区域
地区公園確保区域(仮称),1ｋｍ圏域に覆われない区域
街区公園計画対象区域,補助幹線道路以上の道路、河川・水路、軌道等により囲まれた区域
近隣公園計画対象区域,幹線道路以上の道路、中程度の幅員の河川・水路、軌道等により囲まれた区域
地区公園計画対象区域,主要地方道以上の道路、広幅員の河川・水路、軌道等により囲まれた区域
街区公園計画標準,街区公園計画対象区域(ha)÷20ha＝計画箇所数（A)／対象区域内の0.2ha以上の供用済み都市計画公園(種別：街区公園）数（B)／A-B＝新規計画箇所数／未供用都市計画公園を含め、計画必要箇所数の公園を既決定街区公園の250m圏域に含まれない箇所に重点的に計画する
近隣公園計画標準,近隣公園計画対象区域(ha)÷78ha＝計画箇所数（A)／対象区域内の1.6ha以上の供用済み都市計画公園(種別：近隣公園）数（B)／A-B＝計画必要箇所数／未供用都市計画公園を含め、計画必要箇所数の公園を既決定近隣公園の500m圏域に含まれない箇所に重点的に計画する
地区公園計画標準,地区公園計画対象区域(ha)÷300ha＝計画箇所数（A)／対象区域内の3.2ha以上の供用済み都市計画公園(種別：地区公園）数（B)／A-B＝新規計画箇所数／未供用都市計画公園を含め、計画必要箇所数の公園を既決定地区公園の1000m圏域に含まれない箇所に重点的に計画する
総合公園計画対象区域,1つの行政区域
運動公園計画対象区域,1つの行政区域
総合公園計画標準,総合公園計画対象区域(ha)÷1250ha＝計画箇所数（A)／対象区域内の10ha以上の供用済み都市計画公園(種別：総合公園）数（B)／A-B＝新規計画箇所数／未供用都市計画公園を含め、計画必要箇所数の公園を既決定総合公園の2000m圏域に含まれない箇所に重点的に計画する
運動公園計画標準,運動公園計画対象区域(ha)÷1250ha＝計画箇所数（A)／対象区域内の15ha以上の供用済み都市計画公園(種別：運動公園）数（B)／A-B＝新規計画箇所数／未供用都市計画公園を含め、計画必要箇所数の公園を既決定運動公園の2000m圏域に含まれない箇所に重点的に計画する
広域公園計画対象区域,1つの区市町村を超える区域、都市ビジョンにおけるゾーン
広域公園計画標準,センター・コア再生ゾーン、東京湾ウォーターフロント活性化ゾーンに各1箇所／都市環境再生ゾーンに約15km間隔で4～5箇所／核都市広域連携ゾーンに約15km間隔で4～5箇所／自然環境保全・活用ゾーンに約15km間隔で2箇所／既決定広域公園の7500m圏域に含まれない箇所に重点的に計画する
特殊公園計画標準,区部及び多摩部において、風致の享受の用に供するもの／動植物園、歴史公園、農業公園等地域の特性を反映したもの／都市公園のとしての機能を十分に発揮できるものを即地的に計画する
緑地計画標準,丘陵地・崖線の保全に効果があり、都市構造上からも必要なもの／公害防止・災害防止・自然環境保全・都市環境の向上に効果が期待できるもの／大河川・中小河川と一体となり都市のみどりの軸として重要なもの／快適な歩行者空間を演出するもの／上記の目的を達成するのに必要なみどりを緑地として即地的、計画的に計画する
