年,多摩部(%),東京都全域(%),区部(%)
昭和47年,85.1,64.5,25.0
昭和58年,81.1,61.1,22.5
昭和62年,79.0,59.8,22.6
平成3年,78.7,59.6,22.5
平成7年,78.7,59.5,22.3
