区分,面積(ha),割合(%)
供用,4400,42
未供用／整備を要しない区域（河川水面・社寺境内地など）,3600,34
未供用／事業化 計画検討対象,2600,24
未供用／計,6200,58
都市計画公園・緑地計画決定面積,10600,-
