Ｎｏ．,「重点公園・緑地」名称,「優先整備区域」面積（m2）,「優先整備区域」箇所,
1,月島第二公園,4700 ,中央区勝どき１丁目,
2,石川島公園,6500 ,中央区佃３丁目,
3,南桜公園,2200 ,港区西新橋２丁目,
4,三田台公園,11400 ,港区三田３・４丁目,
5,港南公園,20000 ,港区港南４丁目,
6,目白台公園,30400 ,文京区目白台１丁目,
7,隅田川公園,7700 ,台東区蔵前２丁目,
8,新大島公園,500 ,江東区大島８丁目,
9,豊洲公園,24000 ,江東区豊洲２丁目,
10,大島九丁目公園,10000 ,江東区大島９丁目,
11,戸越公園,14800 ,品川区豊町１丁目,
12,小山台公園,4900 ,品川区小山台２丁目,
13,駒場二丁目公園,10400 ,目黒区駒場２丁目,
14,洗足小池公園,10800 ,大田区上池台１丁目,
15,羽田本町公園,1200 ,大田区本羽田３丁目,
16,多摩川台公園,6400 ,大田区田園調布１・４丁目,
17,大森ふるさとの浜辺公園,99000 ,大田区平和の森公園及びふるさとの浜辺公園,
18,洗足公園,23800 ,大田区南千束１・２丁目,
19,平和の森公園,6000 ,大田区平和の森公園,
20,丸子多摩川公園,52400 ,大田区田園調布１丁目,
21,鵜の木一丁目緑地,6300 ,大田区鵜の木１丁目,
22,二子玉川公園,62800 ,世田谷区上野毛２丁目、玉川１丁目,
23,等々力渓谷公園,4900 ,世田谷区等々力１・２丁目、中町１丁目、野毛１丁目,
24,次大夫堀緑地,3300 ,世田谷区喜多見５丁目,
25,成城三丁目緑地,2300 ,世田谷区成城３丁目,
26,成城みつ池緑地,28100 ,世田谷区成城４丁目,
27,中野公園,10300 ,中野区新井３丁目,
28,北江古田公園,43300 ,中野区江古田３丁目,
29,和田公園,600 ,杉並区和田２丁目,
30,天沼公園,5300 ,杉並区天沼３丁目,
31,桃井中央公園,40000 ,杉並区桃井３丁目,
32,袋町公園,8800 ,北区赤羽台４丁目,
33,赤羽ふれあい公園,27600 ,北区赤羽西５丁目,
34,外語大跡地公園,22000 ,北区西ヶ原４丁目,
35,北区中央公園,14400 ,北区十条台１丁目,
36,飛鳥山公園,5000 ,北区王子１丁目、西ヶ原２丁目,
37,荒川緑地,40000 ,北区志茂４・５丁目,
38,あすか緑地,3300 ,北区王子１丁目、豊島２丁目、堀船２丁目,
39,宮前公園,13900 ,荒川区東尾久５、８丁目,
40,南千住公園,13000 ,荒川区南千住３、４、８丁目,
-,小計,702300 ,,
41,小豆沢公園,1000 ,板橋区小豆沢３丁目,
42,三原台第二公園,1900 ,練馬区三原台２丁目,
43,石神井町八丁目公園,3700 ,練馬区石神井町８丁目,
44,北大泉公園,18800 ,練馬区大泉町３丁目,
45,大泉井頭公園,36800 ,練馬区南大泉４丁目、東大泉７丁目,
46,関町北五丁目緑地,2400 ,練馬区関町北５丁目,
47,新田公園,20000 ,足立区新田３丁目,
48,西新井駅西口公園,10000 ,足立区西新井栄町１丁目,
49,西新井公園,12500 ,足立区梅島３丁目,
50,細田町前沼公園,1000 ,飾区細田３丁目,
51,東立石公園,25000 ,飾区東立石４丁目,
52,新小岩公園,1000 ,飾区西新小岩１丁目,
53,荒川緑地,20000 ,飾区堀切１丁目,
54,中川緑地,29500 ,飾区西水元１・２丁目,
55,西用水緑地,9000 ,飾区白鳥２丁目,
56,西三号公園,4000 ,江戸川区東葛西６丁目,
57,篠崎二丁目公園,1000 ,江戸川区篠崎町２丁目,
58,篠崎一丁目公園,1500 ,江戸川区篠崎町１丁目,
59,篠崎二丁目第三公園,1600 ,江戸川区篠崎町２丁目,
60,一之江七丁目第三公園,700 ,江戸川区一之江７丁目,
-,小計,201400 ,,
-,特別区事業計,903700 ,,
