年,都市計画決定面積_東京都計(ha)
昭和35年,6438
昭和40年,7246
昭和45年,8083
昭和50年,8960
昭和55年,9164
昭和60年,9651
平成2年,9896
平成7年,10350
平成12年,10473
平成16年,10612
