種別,定義
公園／住区基幹／街区公園,主として街区内に居住する者の利用に供することを目的とする公園／街区内に居住する者が容易に利用することができるように配置、標準面積0.25ha
公園／住区基幹／近隣公園,主として近隣に居住する者の利用に供することを目的とする公園／近隣に居住する者が容易に利用できるように配置、標準面積2ha
公園／住区基幹／地区公園,主として徒歩圏内に居住する者の利用に供することを目的とする公園／徒歩圏内に居住する者が容易に利用できるように配置、標準面積4ha
公園／都市基幹／総合公園,主として一の区市町村の区域内に居住する者の総合的な利用に供することを目的とする公園／都市規模に応じて容易に利用できるように配置し、利用目的に応じて都市公園としての機能を十分発揮できる面積
公園／都市基幹／運動公園,主に運動の用に供することを目的とする公園／都市規模に応じて容易に利用できるように配置し、利用目的に応じて都市公園としての機能を十分発揮できる面積
公園／広域／広域公園,一の区市町村の区域を超える広域の区域を対象にして、総合的な利用に供することを目的とする公園／広域的なブロック単位ごとに配置し、利用目的に応じて都市公園としての機能を十分発揮できる面積
公園／特殊／風致公園,主として風致の享受の用に供することを目的とする公園
公園／特殊／その他の特殊公園,特殊な利用を目的とする公園(動物園・植物園・歴史公園・農業公園等）／利用目的に応じて都市公園としての機能を十分発揮できる面積
緑地／丘陵地・崖線,丘陵地・崖線保全のために必要とされる緑地
緑地／都市緑地,公害防止・災害防止のために設けられる緑地都市の自然環境保全／都市環境の向上のために設けられる緑地
緑地／河川緑地,河川沿いに設けられる緑地
緑地／緑道,植樹帯・歩行者道・自転車道を主体とする緑地
その他／広場,主として商業・業務系の土地利用の地域に配置／都市景観の向上、周辺施設利用者のための休息、観賞、交流等の利用に供することを目的とする公共空地
その他／墓園,主として埋葬場所としての墓地機能と緑の保全やレクリエーション機能等公園的性格を併せ持つ公共空地
その他／運動場,主として運動の用に供することを目的とする公共空地
