区分,一人当たり公園面積(m2/人)
全国平均（２００５）（都市公園）,8.9
東京都（２００4）,5.5
ロンドン（１９９７）,26.9
パリ（１９９４）,11.8
ベルリン（１９９５）,27.4
ニューヨーク（１９９７）,29.3
ロスアンゼルス（１９９４）,17.8
バンクーバー（１９９３）,26.5
キャンベラ（１９９３）,77.9
