都市名等,運用対象,建築制限緩和の概要,緩和の開始時期
東京都区部,都市計画道路,当該建築物が、次に掲げる要件に該当し、かつ、容易に移転し又は除去することができるものであること。１当該区間の事業の実施が近い将来見込まれていないこと（第三次事業化計画の優先整備路線外）／２市街地開発事業（区画整理、再開発など）等の支障とならないこと／３階数が３、高さが１０ｍ以下であり、かつ地階を有しないこと／４主要構造部が、木造、鉄骨造、コンクリートブロック造、その他これらに類する構造であること。／５建築物が都市計画道路区域の内外にわたる場合は、将来において、都市計画道路区域内の部分を分離することができるよう設計上の配慮をすること,2004-04
八王子市,区画整理事業地区都市計画施設,◇対象：次のいずれかに該当するもの（＊区画整理が行われている中野中央・宇津木・中野西地区のうちで、おおむね５年以内に事業による移転の見込みがない／＊道路・公園などの整備予定のある事業未認可区域で、整備計画に支障を及ぼさない、または長期にわたって着工される見込みがない）◇内容：木造・鉄骨造で三階建てまでの建築が可能,2003-06
川崎市,都市計画施設,◇事業化予定等・都市計画事業の施行に支障がないと認められるもの／◇敷地の要件・制限なし／◇構造の要件・階数３以下で地階を有しないこと／・木造、鉄骨造、コンクリートブロック造、その他これらに類する構造／・容易に移転しまたは除去することができること／◇その他要件・３階建建築物については、都市計画事業の円滑な施行に支障を及ぼさない場合に限る,2001-04
横浜市,都市計画施設市街地開発事業,◇事業化予定等・制限なし／◇敷地の要件・制限なし／◇構造の要件・階数３以下で地階を有しないこと／・木造、鉄骨造、コンクリートブロック造、その他これらに類する構造／・容易に移転しまたは除去することができること／◇その他要件・３階建建築物については、都市計画事業の円滑な施行に支障を及ぼさない場合に限る,2001-04
名古屋市,都市計画公園・緑地都市計画道路,◇事業化予定等・都市計画決定後２０年以上経過しており、近い将来の事業着手が見込まれていないこと／◇敷地の要件・商業または近隣商業地域及びそれに準ずる地域かつ防火または準防火地域で、容積率３００%以上／◇構造の要件・階数３以下で地階を有しないこと／・木造、鉄骨造、その他これらに類する構造／・容易に移転しまたは除去することができること／◇その他要件・諸般の事情により真にやむを得ない場合に限る,1990-01
京都市,都市計画施設市街地開発事業,◇事業化予定等・制限なし／◇敷地の要件・制限なし／◇構造の要件・階数３以下で地階を有しないこと／・木造、鉄骨造、コンクリートブロック造、その他これらに類する構造／・容易に移転しまたは除去することができること／◇その他要件・但し、別に定める「都市計画事業の施行に支障のある区域」については階数が２以下とする,2001-11
大阪府,都市計画施設市街地開発事業,◇事業化予定等・制限なし／◇敷地の要件・制限なし／◇構造の要件・階数３以下で地階を有しないこと／・木造、鉄骨造、コンクリートブロック造、その他これらに類する構造／・容易に移転しまたは除去することができること,1997-01
大阪市,都市計画公園・緑地,◇事業化予定等・都市計画決定後相当長期間を経過しており、近い将来の事業着手が見込まれていないこと／◇敷地の要件・防火または準防火区域／・敷地の計画区域に係る割合が高い等の要件に適合すること／◇構造の要件・階数３以下で地階を有しないこと／・木造、鉄骨造、コンクリートブロック造、その他これらに類する構造・容易に移転しまたは除去することができること,1996-06
