種別,重点化を図るべき公園・緑地,所在市町,,,,,
街区公園,小門公園,八王子市,,,,,
街区公園,中野町公園,八王子市,,,,,
街区公園,横川弁天池公園,八王子市,,,,,
近隣公園,七国公園,八王子市,,,,,
近隣公園,小田野中央公園,八王子市,,,,,
地区公園,片倉つどいの森公園,八王子市,,,,,
緑地,黒木開戸緑地,八王子市,,,,,
緑地,宇津貫緑地,八王子市,,,,,
近隣公園,砂川公園,立川市,,,,,
総合公園,立川公園,立川市,,,,,
緑地,川越道緑地,立川市,,,,,
広域公園,野山北・六道山公園（総合運動公園）,武蔵村山市,,,,,
街区公園,立野公園,東大和市,,,,,
街区公園,立野東公園,東大和市,,,,,
緑地,東大和狭山緑地,東大和市,,,,,
街区公園,境南ふれあい広場公園,武蔵野市,,,,,
街区公園,関前四丁目公園,武蔵野市,,,,,
街区公園,境冒険遊び場公園,武蔵野市,,,,,
総合公園,境公園,武蔵野市,,,,,
緑地,グリーンパーク緑地,武蔵野市,,,,,
緑地,境三丁目緑地,武蔵野市,,,,,
街区公園,上連雀広場公園,三鷹市,,,,,
街区公園,野崎三丁目公園,三鷹市,,,,,
街区公園,北野公園,三鷹市,,,,,
近隣公園,新川丸池公園,三鷹市,,,,,
近隣公園,大沢の里公園,三鷹市,,,,,
緑地,大沢緑地,三鷹市,,,,,
近隣公園,紅葉丘第二公園,府中市,,,,,
緑地,二ヶ村緑地,府中市,,,,,
緑地,調布市入間町１丁目緑地,調布市,,,,,
緑地,調布市若葉町３丁目第３緑地,調布市,,,,,
街区公園,寺前第一公園,狛江市,,,,,
街区公園,第三耕地公園,狛江市,,,,,
近隣公園,伝馬公園,青梅市,,,,,
特殊公園,吹上しょうぶ公園,青梅市,,,,,
緑地,釜の淵緑地,青梅市,,,,,
街区公園,富士見公園,昭島市,,,,,
街区公園,光正寺公園,町田市,,,,,
近隣公園,南大谷公園,町田市,,,,,
地区公園,三ツ目山公園,町田市,,,,,
地区公園,杉谷戸公園,町田市,,,,,
地区公園,小野路公園,町田市,,,,,
総合公園,相原中央公園,町田市,,,,,
街区公園,小長久保公園,小金井市,,,,,
街区公園,東光寺上第１公園,日野市,,,,,
街区公園,日野駅北第１公園,日野市,,,,,
街区公園,日野駅北第２公園,日野市,,,,,
街区公園,東豊田公園,日野市,,,,,
総合公園,七ッ塚公園,日野市,,,,,
総合公園,北川原公園,日野市,,,,,
緑地,日野緑地,日野市,,,,,
緑地,万蔵院台緑地,日野市,,,,,
街区公園,延命寺公園,小平市,,,,,
緑地,国分寺緑地,国分寺市,,,,,
緑地,西恋ヶ窪緑地,国分寺市,,,,,
総合公園,北山公園,東村山市,,,,,
街区公園,ママ下湧水公園,国立市,,,,,
近隣公園,西公園,国立市,,,,,
近隣公園,城山公園,国立市,,,,,
運動公園,矢川上公園,国立市,,,,,
近隣公園,中福生公園,福生市,,,,,
街区公園,介山記念館公園,羽村市,,,,,
緑地,多摩川緑地,羽村市,,,,,
緑地,稲荷緑地,羽村市,,,,,
緑地,加美緑地,羽村市,,,,,
街区公園,稲荷ヶ丘公園,瑞穂町,,,,,
街区公園,一本榎公園,瑞穂町,,,,,
街区公園,吉方公園,稲城市,,,,,
街区公園,矢野口公園,稲城市,,,,,
街区公園,円覚寺公園,稲城市,,,,,
街区公園,矢野口第１公園,稲城市,,,,,
街区公園,矢野口第２公園,稲城市,,,,,
街区公園,矢野口第３公園,稲城市,,,,,
街区公園,矢野口第４公園,稲城市,,,,,
緑地,坂浜上谷戸緑地,稲城市,,,,,
