年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1444カット野菜(1kg)/円,1502りんご(1kg)/円,1511みかん(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,1583アボカド(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
令和３年８月,2021,8,439,115,104,195,358,123,156,615,302,180,385,314,144,...,283,142,1189,219,705,406,162,690,1649,623,402,997,180,441,1095,272,1244,770,1517,1274,2437,504,554,631,640,848,1602,501,646,514,711,...,517,...,849,1538,2061,...,1244,429,744,...,...,251,957,830,196,229,326
令和３年９月,2021,9,464,122,122,195,372,124,203,603,302,180,398,302,140,...,286,178,1408,357,735,848,160,792,1889,606,392,848,195,426,1003,282,1045,793,1530,1272,2687,485,680,783,824,901,1693,515,689,514,587,721,523,...,729,1478,1716,...,1348,...,...,...,...,249,934,820,200,234,327
令和３年10月,2021,10,481,103,110,200,376,121,173,609,323,150,402,300,138,408,300,173,839,236,677,439,162,623,1780,578,408,786,187,386,1000,288,987,788,1552,...,2473,469,503,627,798,838,1635,525,740,514,595,621,507,...,1009,...,2024,546,...,...,...,...,...,243,976,830,196,234,328
令和３年11月,2021,11,524,116,115,...,369,116,161,616,320,173,429,310,139,381,296,161,781,167,551,360,163,581,1508,600,413,707,152,362,997,330,954,782,1547,...,2410,460,596,718,817,800,1497,536,759,516,629,598,516,...,...,...,...,635,...,...,...,...,...,245,989,811,197,231,340
令和３年12月,2021,12,519,99,117,...,375,106,145,626,346,168,435,317,139,376,299,135,751,129,569,371,163,520,1761,568,427,737,121,335,983,383,1028,756,1591,...,2385,509,585,796,836,816,1628,539,735,515,644,637,530,...,...,...,...,750,...,...,...,2507,...,241,1052,831,202,232,383
令和４年１月,2022,1,537,110,97,...,379,119,147,639,358,176,435,329,134,382,291,158,964,131,676,593,163,589,2217,580,452,724,153,335,969,405,1175,780,1588,...,2314,540,656,787,745,927,1811,549,735,515,640,711,566,...,...,...,...,...,...,...,...,2408,...,246,1062,854,198,237,354
令和４年２月,2022,2,534,111,91,...,386,117,143,632,356,155,452,322,170,376,291,186,921,140,627,649,163,586,1890,575,482,736,173,311,974,402,1193,788,1549,...,2370,540,708,849,682,1232,1674,534,704,515,615,787,619,912,...,...,...,...,...,...,...,2205,...,250,1157,888,199,235,350
令和４年３月,2022,3,527,113,93,212,379,113,142,628,355,174,447,317,154,369,289,209,733,171,619,491,163,506,1869,591,493,727,196,344,938,420,1301,751,1534,...,2545,537,611,820,706,1199,1694,521,694,515,628,910,606,863,...,...,...,...,...,...,...,1982,...,252,1211,938,208,239,373
令和４年４月,2022,4,542,108,91,216,399,121,135,660,332,166,423,317,156,...,299,235,785,248,601,430,163,573,1904,601,508,718,193,391,949,485,1730,779,1491,...,2379,526,517,684,713,974,1588,504,720,515,641,...,628,965,...,...,...,...,...,...,...,1831,...,260,1261,1078,206,233,371
令和４年５月,2022,5,528,122,99,220,402,130,131,648,368,193,424,324,157,...,297,221,856,230,723,383,163,581,2255,619,525,778,206,407,955,560,1914,768,1422,...,2417,559,525,672,665,967,1674,512,689,522,736,...,626,1045,...,...,...,...,...,570,917,1775,...,259,1124,1148,230,246,375
令和４年６月,2022,6,528,125,91,217,398,116,134,670,354,179,422,314,169,...,300,204,841,223,795,379,163,665,2163,697,419,1002,222,410,940,487,2927,761,1445,1825,2261,596,501,700,696,981,1639,512,670,528,815,...,669,...,...,2252,...,...,...,490,849,...,3104,267,1047,1090,207,237,364
令和４年７月,2022,7,519,121,92,223,423,126,139,666,377,160,425,325,184,...,300,186,1023,222,823,307,165,576,1957,708,402,1117,229,442,929,414,2237,753,1429,1528,2268,580,543,625,681,903,1689,509,667,528,842,...,652,...,...,1946,3033,...,1355,458,770,...,3085,262,1041,1006,207,236,354
令和４年７月上旬,2022,7上,519,127,82,223,...,133,142,668,364,156,...,...,...,...,...,203,968,218,819,333,...,597,2025,...,...,...,211,...,...,444,2386,...,...,1580,2216,574,530,653,695,868,...,...,...,...,841,...,...,...,...,2010,3186,...,1392,442,780,...,3095,...,...,...,204,235,356
令和４年７月中旬,2022,7中,487,107,97,225,423,127,137,663,379,159,425,325,184,...,300,186,1033,228,837,296,165,578,1914,708,402,1117,219,442,929,399,2255,753,1429,1519,2198,583,529,611,678,909,1689,509,667,528,820,...,652,...,...,1947,3126,...,1353,468,764,...,2959,262,1041,1006,209,239,356
令和４年７月下旬,2022,7下,552,128,99,221,...,119,137,668,388,167,...,...,...,...,...,170,1069,219,814,291,...,554,1933,...,...,...,257,...,...,400,2071,...,...,1485,2389,584,570,612,669,932,...,...,...,...,863,...,...,...,...,1881,2788,...,1320,465,767,...,3202,...,...,...,208,235,351
令和４年８月上旬,2022,8上,549,138,95,227,...,120,136,661,364,161,...,...,...,...,...,161,1146,229,840,298,...,636,1781,...,...,...,263,...,...,394,1489,...,...,1401,2407,572,529,594,696,942,...,...,...,...,887,...,...,...,1073,1644,2449,...,1294,484,862,...,...,...,...,...,210,256,354
令和４年８月中旬,2022,8中,531,143,134,228,457,115,142,680,374,165,433,326,178,...,312,148,1225,221,820,339,163,687,1863,672,377,958,266,454,912,386,1375,758,1437,1358,2429,542,526,617,711,923,1697,513,699,528,887,...,637,...,1057,1514,2237,...,1309,476,836,...,...,273,1004,926,213,262,358
銘柄改正年月,,,,,,,,2022年7月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮食品及び切り花）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和４年８月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７． 主 要 品 目 の 東 京 都 区 部 小 売 価 格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
