年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1444カット野菜(1kg)/円,1502りんご(1kg)/円,1511みかん(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,1583アボカド(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
令和４年３月,2022,3,527,113,93,212,379,113,142,628,355,174,447,317,154,369,289,209,733,171,619,491,163,506,1869,591,493,727,196,344,938,420,1301,751,1534,...,2545,537,611,820,706,1199,1694,521,694,515,628,910,606,863,...,...,...,...,...,...,...,1982,...,252,1211,938,208,239,373
令和４年４月,2022,4,542,108,91,216,399,121,135,660,332,166,423,317,156,...,299,235,785,248,601,430,163,573,1904,601,508,718,193,391,949,485,1730,779,1491,...,2379,526,517,684,713,974,1588,504,720,515,641,...,628,965,...,...,...,...,...,...,...,1831,...,260,1261,1078,206,233,371
令和４年４月上旬,2022,4上,535,109,90,218,...,122,146,658,332,168,...,...,...,...,...,228,735,256,607,393,...,504,1912,...,...,...,185,...,...,469,1524,...,...,...,2310,507,519,720,717,1009,...,...,...,...,618,...,...,954,...,...,...,...,...,...,...,1828,...,...,...,...,208,232,382
令和４年４月中旬,2022,4中,544,97,88,218,399,114,133,664,335,163,423,317,156,...,299,242,803,248,588,452,163,603,1865,601,508,718,194,391,949,484,1791,779,1491,...,2382,524,522,666,730,958,1588,504,720,515,638,...,628,1000,...,...,...,...,...,...,...,1882,...,260,1261,1078,206,233,370
令和４年４月下旬,2022,4下,546,120,96,213,...,126,127,657,328,169,...,...,...,...,...,235,817,239,607,445,...,613,1935,...,...,...,198,...,...,501,1875,...,...,...,2445,545,511,665,692,957,...,...,...,...,666,...,...,942,...,...,...,...,...,...,...,1782,...,...,...,...,206,233,363
令和４年５月上旬,2022,5上,516,153,116,222,...,142,128,629,365,194,...,...,...,...,...,203,868,212,658,391,...,581,2283,...,...,...,189,...,...,589,1876,...,...,...,2360,540,532,662,686,1002,...,...,...,...,685,...,...,1026,...,...,...,...,...,615,937,1757,...,...,...,...,269,244,387
令和４年５月中旬,2022,5中,529,95,93,216,402,124,139,651,367,194,424,324,157,...,297,235,854,222,733,401,163,542,2261,619,525,778,209,407,955,547,1868,768,1422,...,2443,572,530,666,663,947,1674,512,689,522,714,...,626,1011,...,...,...,...,...,556,933,1756,...,259,1124,1148,214,250,374
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮食品及び切り花）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和４年５月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７． 主 要 品 目 の 東 京 都 区 部 小 売 価 格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
