年月,西暦（年）,月,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費,
年・年度平均指数／平成28年平均,2016,,98.1,98.2,97.7,96.2,99.5,97.1,93.9,97.2,98.1,96.7,99.3,108.9,97.9,101.4,
年・年度平均指数／平成29年平均,2017,,98.6,98.7,98.3,96.8,99.3,97.2,96.4,96.7,98.3,97.5,99.5,109.6,98.3,101.7,
年・年度平均指数／平成30年平均,2018,,99.5,99.5,99.5,98.2,99.2,97.3,100.2,95.7,98.5,99,100.9,110.1,99,102.1,
年・年度平均指数／令和元年平均,2019,,100,100.2,100,98.7,99.4,98.2,102.5,97.7,98.9,99.7,100.2,108.4,100.6,102.1,
年・年度平均指数／令和2年平均,2020,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
年・年度平均指数／令和3年平均,2021,,99.8,99.8,99.7,100,100.6,102,101.3,101.7,100.4,99.6,95,100,101.6,101.1,
年・年度平均指数／平成27年度平均,2015,,98.2,98.5,97.8,95.1,99.6,96.8,99.3,97.7,96.9,96,100.7,107.7,97.3,100.9,
年・年度平均指数／平成28年度平均,2016,,98.2,98.2,97.8,96.4,99.4,97.2,93.4,97.1,98.4,96.8,99.3,109.3,98.1,101.5,
年・年度平均指数／平成29年度平均,2017,,98.9,98.9,98.7,97.5,99.3,97.2,97.4,96.4,98.4,98,99.9,109.7,98.4,101.8,
年・年度平均指数／平成30年度平均,2018,,99.6,99.7,99.6,97.9,99.2,97.3,101.5,95.8,98.5,99.3,100.8,110.2,99.4,102.4,
年・年度平均指数／令和元年度平均,2019,,100.1,100.3,100.2,99,99.6,98.9,102.3,98.3,99.2,99.9,100.5,106.3,101,101.3,
年・年度平均指数／令和2年度平均,2020,,99.9,99.9,99.8,99.9,100.1,100.4,98.5,100.5,100.2,99.8,99.7,99.2,99.9,100.3,
前年(度)比(％)／平成28年平均,2016,,-0.1,-0.3,-0.1,1.7,-0.1,0.4,-7.3,-0.4,1.8,0.9,-2,1.6,1,0.7,
前年(度)比(％)／平成29年平均,2017,,0.5,0.5,0.6,0.7,-0.2,0.1,2.7,-0.5,0.2,0.9,0.3,0.6,0.4,0.3,
前年(度)比(％)／平成30年平均,2018,,1,0.9,1.2,1.4,-0.1,0.1,4,-1.1,0.1,1.5,1.4,0.4,0.8,0.5,
前年(度)比(％)／令和元年平均,2019,,0.5,0.6,0.6,0.4,0.3,1,2.3,2.2,0.4,0.7,-0.7,-1.5,1.6,0,
前年(度)比(％)／令和2年平均,2020,,0,-0.2,0,1.4,0.6,1.8,-2.4,2.3,1.1,0.3,-0.2,-7.8,-0.6,-2,
前年(度)比(％)／令和3年平均,2021,,-0.2,-0.2,-0.3,0,0.6,2,1.3,1.7,0.4,-0.4,-5,0,1.6,1.1,
前年(度)比(％)／平成27年度平均,2015,,0.2,0,0.3,2.6,0,0.5,-5.3,1.1,1.8,0.6,-2.6,1.5,1.5,0.7,
前年(度)比(％)／平成28年度平均,2016,,-0.1,-0.2,0,1.4,-0.2,0.3,-6,-0.5,1.5,0.8,-1.4,1.4,0.8,0.6,
前年(度)比(％)／平成29年度平均,2017,,0.7,0.7,0.9,1.1,-0.2,0.1,4.3,-0.8,0.1,1.2,0.5,0.4,0.4,0.3,
前年(度)比(％)／平成30年度平均,2018,,0.7,0.8,0.9,0.5,-0.1,0.1,4.2,-0.6,0.1,1.4,0.9,0.5,0.9,0.6,
前年(度)比(％)／令和元年度平均,2019,,0.5,0.6,0.6,1,0.5,1.6,0.8,2.5,0.7,0.5,-0.3,-3.6,1.7,-1,
前年(度)比(％)／令和2年度平均,2020,,-0.2,-0.4,-0.3,1,0.5,1.6,-3.6,2.4,1,0,-0.8,-6.4,-1,-1,
月別指数／令和2年12月,2020,12,99.3,99.6,99.2,98.8,100,100,96.3,101.8,101,99.4,99.9,99.1,98.1,100.3,
月別指数／令和3年1月,2021,1,99.8,99.8,99.8,100,100.4,101.6,96.1,101.4,98.2,99.4,99.9,99.1,100.8,100.6,
月別指数／令和3年2月,2021,2,99.8,99.9,99.7,99.5,100.5,101.6,96.4,101.3,98.3,99.4,100.1,99.1,100.5,100.9,
月別指数／令和3年3月,2021,3,99.9,100.1,99.9,99.1,100.5,101.8,97.3,101.4,100.2,99.8,100.2,99.1,100.9,100.9,
月別指数／令和3年4月,2021,4,99.1,99.3,98.9,99,100.6,101.9,98.8,101.4,101.6,99.6,93.2,100.2,101.5,100.9,
月別指数／令和3年5月,2021,5,99.4,99.5,99.2,99.3,100.6,101.9,100.7,101.5,101.5,99.7,93.5,100.3,101.9,101,
月別指数／令和3年6月,2021,6,99.5,99.5,99.4,99.9,100.6,101.9,101.4,101.7,101,99.6,93.5,100.3,101.1,100.8,
月別指数／令和3年7月,2021,7,99.7,99.8,99.6,99.6,100.6,102,102,102.3,99.3,99.7,94.6,100.3,102.4,101.1,
月別指数／令和3年8月,2021,8,99.7,99.8,99.6,99.9,100.7,102,102,102.3,98.1,99.8,93.8,100.3,103.2,101.1,
月別指数／令和3年9月,2021,9,100.1,99.8,100.1,101.4,100.7,102.2,103.1,101.6,101.7,99.7,93.5,100.4,101.6,101.2,
月別指数／令和3年10月,2021,10,99.9,99.9,99.9,100.8,100.7,102.2,104.4,101.7,101.8,99.4,92.3,100.4,102.1,101.8,
月別指数／令和3年11月,2021,11,100.1,100.1,100.1,100.8,100.7,102.3,106,102.1,102.3,99.4,92.8,100.4,101.7,101.8,
月別指数／令和3年12月,2021,12,100.1,100,100.1,100.9,100.7,102.4,107.1,101,101.3,99.3,92.5,100.4,101.9,101.6,
前月比(％)／令和2年12月,2020,12,-0.2,-0.1,-0.2,-0.7,0,-0.1,-0.8,0.2,-1.2,-0.3,0.2,0,0.6,-0.3,
前月比(％)／令和3年1月,2021,1,0.5,0.3,0.6,1.2,0.4,1.6,-0.2,-0.4,-2.8,0,0,0,2.7,0.3,
前月比(％)／令和3年2月,2021,2,-0.1,0,-0.1,-0.5,0.1,0,0.3,-0.2,0.1,0.1,0.1,0,-0.3,0.3,
前月比(％)／令和3年3月,2021,3,0.1,0.2,0.2,-0.4,0,0.2,1,0.1,1.9,0.3,0.2,0,0.4,0.1,
