"年度[西暦]","国土利用計画法に基づく届出件数[件]","国土利用計画法に基づく確認件数[件]","公拡法に基づく届出・申出件数[件]"
"2014","56","0","18"
"2015","71","0","8"
"2016","94","0","13"
"2017","69","0","18"
"2018","71","0","6"

"令和元年度港区行政資料集　国土利用計画法、公拡法に基づく届出等","Ver201903",,
