計画相談支援実績,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
進捗率,98.4,99.9,99.8,98.6,99.9,99.9,98.9,99.2,99.9,99.8,98.2,99.6,97.9,97.5,98.1,98.8,99.5,99.9,99.9,99.7,99.8,98.9,99.8,99.7,95.9,94.4,98.9,91.3,98.8,100,98.0 ,100,98.0 ,99.8,99.5,100,99.9,99.8,94.2,98.6,99.9,99.8,99.9,99.8,100,100,99.5
セルフ率,33.9,0.2,5.5,24.5,0.4,0.3,17.2,2.1,3.7,3,16.2,15.8,21.7,48.1,0.9,1.5,0.5,0.7,2.6,0.2,1.3,7.8,15.5,7.7,12.1,22.1,42.1,23.1,11.5,4.7,1.9,0.4,26.1,19.1,0.6,0.3,0.3,8.7,3.9,8.1,14.5,2.1,1.4,0.5,0.4,0.4,0.9
