計画相談支援実績,千代田区,中央区,港区,新宿区,文京区,台東区,墨田区,江東区,品川区,目黒区,大田区,世田谷区,渋谷区,中野区,杉並区,豊島区,北区,荒川区,板橋区,練馬区,足立区,葛飾区,江戸川区,八王子市,立川市,武蔵野市,三鷹市,青梅市,府中市,昭島市,調布市,町田市,小金井市,小平市,日野市,東村山市,国分寺市,国立市,福生市,狛江市,東大和市,清瀬市,東久留米市,武蔵村山市,多摩市,稲城市,羽村市,あきる野市,西東京市,瑞穂町,日の出町,檜原村,奥多摩町,大島町,利島村,新島村,神津島村,三宅村,御蔵島村,八丈町,青ヶ島村,小笠原村
進捗率,93.5,100.0,98.3,100.0,90.7,99.5,100.0,100.0,98.2,91.3,99.9,98.6,86.0,94.7,98.4,95.5,97.3,100.0,96.6,98.9,98.6,98.4,99.5,100.0,93.4,98.4,98.4,100.0,97.7,99.5,95.1,88.9,100.0,99.6,99.8,99.6,100.0,100.0,98.5,96.1,99.5,99.2,98.3,97.5,99.1,99.0,99.3,98.6,99.5,100.0,100.0,100.0,100.0,100.0,100.0,55.6,60.0,61.1,0.0,95.1,0.0,100.0
セルフ率,44.5,0.4,3.5,41.6,39.9,36.9,6.1,29.7,0.4,5.9,15.7,28.5,12.1,12.1,0.1,23.9,27.8,4.2,23.4,11.3,39.4,18.5,7.9,54.8,7.0,7.1,5.4,1.1,37.7,0.2,40.8,59.4,33.0,4.1,33.3,1.0,2.6,26.3,4.6,6.7,2.5,17.7,13.6,11.5,36.2,40.9,2.7,0.5,12.4,0.7,3.5,0.0,10.0,40.7,0.0,0.0,0.0,0.0,0.0,64.1,0.0,0.0
