"年度","出前授業講座件数[件]","地域ボランティア登録団体件数[件]","出前授業実績件数[件]","職場体験登録団体件数[件]"
"2016","146","81","97","68"
"2017","189","98","117","70"
"2018","198","98","141","70"
"2019","202","94","198","70"
"2020","193","93","90","70"

"令和3年度港区行政資料集　地域学校協働活動推進事業","Ver202103",,,
